TYPECOM,COM,REG,DEP,CTCD,ARR,TNCC,NCC,NCCENR,LIBELLE,CAN,COMPARENT
COM,22001,53.0,22,22D,224,1,ALLINEUC,Allineuc,Allineuc,2210,
COM,22002,53.0,22,22D,224,1,ANDEL,Andel,Andel,2206,
COM,22003,53.0,22,22D,221,1,AUCALEUC,Aucaleuc,Aucaleuc,2204,
COM,22004,53.0,22,22D,222,0,BEGARD,Bégard,Bégard,2201,
COM,22005,53.0,22,22D,222,0,BELLE ISLE EN TERRE,Belle-Isle-en-Terre,Belle-Isle-en-Terre,2203,
COM,22006,53.0,22,22D,223,0,BERHET,Berhet,Berhet,2201,
COM,22008,53.0,22,22D,221,0,BOBITAL,Bobital,Bobital,2208,
COM,22009,53.0,22,22D,224,2,BODEO,Bodéo,Le Bodéo,2213,
COM,22011,53.0,22,22D,222,0,BOQUEHO,Boqueho,Boqueho,2215,
COM,22012,53.0,22,22D,224,3,BOUILLIE,Bouillie,La Bouillie,2217,
COM,22013,53.0,22,22D,222,0,BOURBRIAC,Bourbriac,Bourbriac,2203,
COM,22014,53.0,22,22D,221,0,BOURSEUL,Bourseul,Bourseul,2214,
COM,22015,53.0,22,22D,224,0,BREHAND,Bréhand,Bréhand,2216,
COM,22016,53.0,22,22D,224,1,ILE DE BREHAT,Île-de-Bréhat,Île-de-Bréhat,2211,
COM,22018,53.0,22,22D,222,0,BRELIDY,Brélidy,Brélidy,2201,
COM,22019,53.0,22,22D,222,0,BRINGOLO,Bringolo,Bringolo,2215,
COM,22020,53.0,22,22D,221,0,BROONS,Broons,Broons,2202,
COM,22021,53.0,22,22D,221,0,BRUSVILY,Brusvily,Brusvily,2208,
COM,22023,53.0,22,22D,222,0,BULAT PESTIVIEN,Bulat-Pestivien,Bulat-Pestivien,2203,
COM,22024,53.0,22,22D,222,0,CALANHEL,Calanhel,Calanhel,2203,
COM,22025,53.0,22,22D,222,0,CALLAC,Callac,Callac,2203,
COM,22026,53.0,22,22D,221,0,CALORGUEN,Calorguen,Calorguen,2208,
COM,22028,53.0,22,22D,223,0,CAMLEZ,Camlez,Camlez,2227,
COM,22029,53.0,22,22D,222,0,CANIHUEL,Canihuel,Canihuel,2223,
COM,22030,53.0,22,22D,223,0,CAOUENNEC LANVEZEAC,Caouënnec-Lanvézéac,Caouënnec-Lanvézéac,2201,
COM,22031,53.0,22,22D,222,0,CARNOET,Carnoët,Carnoët,2203,
COM,22032,53.0,22,22D,221,0,CAULNES,Caulnes,Caulnes,2202,
COM,22033,53.0,22,22D,224,0,CAUREL,Caurel,Caurel,2210,
COM,22034,53.0,22,22D,223,0,CAVAN,Cavan,Cavan,2201,
COM,22035,53.0,22,22D,221,4,CHAMPS GERAUX,Champs-Géraux,Les Champs-Géraux,2208,
COM,22036,53.0,22,22D,221,3,CHAPELLE BLANCHE,Chapelle-Blanche,La Chapelle-Blanche,2202,
COM,22037,53.0,22,22D,222,3,CHAPELLE NEUVE,Chapelle-Neuve,La Chapelle-Neuve,2203,
COM,22039,53.0,22,22D,224,3,CHEZE,Chèze,La Chèze,2209,
COM,22040,53.0,22,22D,222,0,COADOUT,Coadout,Coadout,2203,
COM,22041,53.0,22,22D,223,0,COATASCORN,Coatascorn,Coatascorn,2201,
COM,22042,53.0,22,22D,223,0,COATREVEN,Coatréven,Coatréven,2227,
COM,22044,53.0,22,22D,224,0,COETMIEUX,Coëtmieux,Coëtmieux,2206,
COM,22045,53.0,22,22D,222,0,COHINIAC,Cohiniac,Cohiniac,2215,
COM,22046,53.0,22,22D,224,2,MENE,Mené,Le Mené,2216,
COM,22047,53.0,22,22D,224,0,CORLAY,Corlay,Corlay,2210,
COM,22048,53.0,22,22D,221,0,CORSEUL,Corseul,Corseul,2214,
COM,22049,53.0,22,22D,221,0,CREHEN,Créhen,Créhen,2214,
COM,22050,53.0,22,22D,221,0,DINAN,Dinan,Dinan,2204,
COM,22052,53.0,22,22D,222,0,DUAULT,Duault,Duault,2203,
COM,22053,53.0,22,22D,224,1,EREAC,Éréac,Éréac,2202,
COM,22054,53.0,22,22D,224,1,ERQUY,Erquy,Erquy,2217,
COM,22055,53.0,22,22D,224,0,BINIC ETABLES SUR MER,Binic-Étables-sur-Mer,Binic-Étables-sur-Mer,2222,
COM,22056,53.0,22,22D,221,1,EVRAN,Évran,Évran,2208,
COM,22057,53.0,22,22D,222,2,FAOUET,Faouët,Le Faouët,2222,
COM,22059,53.0,22,22D,224,2,FOEIL,Fœil,Le Fœil,2215,
COM,22060,53.0,22,22D,224,0,GAUSSON,Gausson,Gausson,2210,
COM,22061,53.0,22,22D,222,0,GLOMEL,Glomel,Glomel,2223,
COM,22062,53.0,22,22D,224,0,GOMENE,Gomené,Gomené,2202,
COM,22063,53.0,22,22D,222,0,GOMMENEC H,Gommenec'h,Gommenec'h,2222,
COM,22064,53.0,22,22D,222,0,GOUAREC,Gouarec,Gouarec,2223,
COM,22065,53.0,22,22D,222,0,GOUDELIN,Goudelin,Goudelin,2205,
COM,22067,53.0,22,22D,222,0,GRACES,Grâces,Grâces,2205,
COM,22068,53.0,22,22D,224,0,GRACE UZEL,Grâce-Uzel,Grâce-Uzel,2210,
COM,22069,53.0,22,22D,221,0,GUENROC,Guenroc,Guenroc,2202,
COM,22070,53.0,22,22D,222,0,GUINGAMP,Guingamp,Guingamp,2205,
COM,22071,53.0,22,22D,221,0,GUITTE,Guitté,Guitté,2202,
COM,22072,53.0,22,22D,222,0,GURUNHUEL,Gurunhuel,Gurunhuel,2203,
COM,22073,53.0,22,22D,224,3,HARMOYE,Harmoye,La Harmoye,2215,
COM,22074,53.0,22,22D,224,2,HAUT CORLAY,Haut-Corlay,Le Haut-Corlay,2210,
COM,22075,53.0,22,22D,224,1,HEMONSTOIR,Hémonstoir,Hémonstoir,2210,
COM,22076,53.0,22,22D,224,1,HENANBIHEN,Hénanbihen,Hénanbihen,2217,
COM,22077,53.0,22,22D,224,0,HENANSAL,Hénansal,Hénansal,2206,
COM,22079,53.0,22,22D,224,0,HENON,Hénon,Hénon,2213,
COM,22081,53.0,22,22D,224,1,HILLION,Hillion,Hillion,2226,
COM,22082,53.0,22,22D,221,2,HINGLE,Hinglé,Le Hinglé,2208,
COM,22083,53.0,22,22D,224,1,ILLIFAUT,Illifaut,Illifaut,2202,
COM,22084,53.0,22,22D,224,0,JUGON LES LACS,Jugon-les-Lacs,Jugon-les-Lacs,2216,
COM,22085,53.0,22,22D,223,0,KERBORS,Kerbors,Kerbors,2227,
COM,22086,53.0,22,22D,222,0,KERFOT,Kerfot,Kerfot,2211,
COM,22087,53.0,22,22D,222,0,KERGRIST MOELOU,Kergrist-Moëlou,Kergrist-Moëlou,2223,
COM,22088,53.0,22,22D,222,0,KERIEN,Kerien,Kerien,2203,
COM,22090,53.0,22,22D,223,0,KERMARIA SULARD,Kermaria-Sulard,Kermaria-Sulard,2212,
COM,22091,53.0,22,22D,222,0,KERMOROC H,Kermoroc'h,Kermoroc'h,2201,
COM,22092,53.0,22,22D,222,0,KERPERT,Kerpert,Kerpert,2203,
COM,22093,53.0,22,22D,224,0,LAMBALLE ARMOR,Lamballe-Armor,Lamballe-Armor,2289,
COM,22094,53.0,22,22D,221,0,LANCIEUX,Lancieux,Lancieux,2219,
COM,22095,53.0,22,22D,222,0,LANDEBAERON,Landebaëron,Landebaëron,2201,
COM,22096,53.0,22,22D,221,0,LANDEBIA,Landébia,Landébia,2214,
COM,22097,53.0,22,22D,221,3,LANDEC,Landec,La Landec,2214,
COM,22098,53.0,22,22D,224,0,LANDEHEN,Landéhen,Landéhen,2206,
COM,22099,53.0,22,22D,224,0,LANFAINS,Lanfains,Lanfains,2215,
COM,22101,53.0,22,22D,223,0,LANGOAT,Langoat,Langoat,2227,
COM,22103,53.0,22,22D,221,0,LANGROLAY SUR RANCE,Langrolay-sur-Rance,Langrolay-sur-Rance,2219,
COM,22104,53.0,22,22D,221,0,LANGUEDIAS,Languédias,Languédias,2214,
COM,22105,53.0,22,22D,221,0,LANGUENAN,Languenan,Languenan,2214,
COM,22106,53.0,22,22D,224,0,LANGUEUX,Langueux,Langueux,2226,
COM,22107,53.0,22,22D,222,0,BON REPOS SUR BLAVET,Bon Repos sur Blavet,Bon Repos sur Blavet,2223,
COM,22108,53.0,22,22D,222,0,LANLEFF,Lanleff,Lanleff,2211,
COM,22109,53.0,22,22D,222,0,LANLOUP,Lanloup,Lanloup,2211,
COM,22110,53.0,22,22D,223,0,LANMERIN,Lanmérin,Lanmérin,2227,
COM,22111,53.0,22,22D,223,0,LANMODEZ,Lanmodez,Lanmodez,2227,
COM,22112,53.0,22,22D,222,0,LANNEBERT,Lannebert,Lannebert,2222,
COM,22113,53.0,22,22D,223,0,LANNION,Lannion,Lannion,2207,
COM,22114,53.0,22,22D,224,0,LANRELAS,Lanrelas,Lanrelas,2202,
COM,22115,53.0,22,22D,222,0,LANRIVAIN,Lanrivain,Lanrivain,2223,
COM,22116,53.0,22,22D,222,0,LANRODEC,Lanrodec,Lanrodec,2215,
COM,22117,53.0,22,22D,224,0,LANTIC,Lantic,Lantic,2222,
COM,22118,53.0,22,22D,221,0,LANVALLAY,Lanvallay,Lanvallay,2208,
COM,22119,53.0,22,22D,223,0,LANVELLEC,Lanvellec,Lanvellec,2220,
COM,22121,53.0,22,22D,222,0,LANVOLLON,Lanvollon,Lanvollon,2222,
COM,22122,53.0,22,22D,224,0,LAURENAN,Laurenan,Laurenan,2202,
COM,22124,53.0,22,22D,222,0,LESCOUET GOUAREC,Lescouët-Gouarec,Lescouët-Gouarec,2223,
COM,22126,53.0,22,22D,224,2,LESLAY,Leslay,Le Leslay,2215,
COM,22127,53.0,22,22D,223,0,LEZARDRIEUX,Lézardrieux,Lézardrieux,2227,
COM,22128,53.0,22,22D,222,0,LOCARN,Locarn,Locarn,2223,
COM,22129,53.0,22,22D,222,0,LOC ENVEL,Loc-Envel,Loc-Envel,2203,
COM,22131,53.0,22,22D,223,0,LOGUIVY PLOUGRAS,Loguivy-Plougras,Loguivy-Plougras,2220,
COM,22132,53.0,22,22D,222,0,LOHUEC,Lohuec,Lohuec,2203,
COM,22133,53.0,22,22D,224,0,LOSCOUET SUR MEU,Loscouët-sur-Meu,Loscouët-sur-Meu,2202,
COM,22134,53.0,22,22D,223,0,LOUANNEC,Louannec,Louannec,2212,
COM,22135,53.0,22,22D,222,0,LOUARGAT,Louargat,Louargat,2203,
COM,22136,53.0,22,22D,224,0,LOUDEAC,Loudéac,Loudéac,2209,
COM,22137,53.0,22,22D,222,0,MAEL CARHAIX,Maël-Carhaix,Maël-Carhaix,2223,
COM,22138,53.0,22,22D,222,0,MAEL PESTIVIEN,Maël-Pestivien,Maël-Pestivien,2203,
COM,22139,53.0,22,22D,222,0,MAGOAR,Magoar,Magoar,2203,
COM,22140,53.0,22,22D,224,3,MALHOURE,Malhoure,La Malhoure,2206,
COM,22141,53.0,22,22D,223,0,MANTALLOT,Mantallot,Mantallot,2201,
COM,22143,53.0,22,22D,221,0,MATIGNON,Matignon,Matignon,2217,
COM,22144,53.0,22,22D,224,3,MEAUGON,Méaugon,La Méaugon,2221,
COM,22145,53.0,22,22D,221,0,MEGRIT,Mégrit,Mégrit,2202,
COM,22146,53.0,22,22D,222,0,MELLIONNEC,Mellionnec,Mellionnec,2223,
COM,22147,53.0,22,22D,224,0,MERDRIGNAC,Merdrignac,Merdrignac,2202,
COM,22148,53.0,22,22D,224,0,MERILLAC,Mérillac,Mérillac,2202,
COM,22149,53.0,22,22D,224,0,MERLEAC,Merléac,Merléac,2210,
COM,22150,53.0,22,22D,222,2,MERZER,Merzer,Le Merzer,2205,
COM,22152,53.0,22,22D,223,0,MINIHY TREGUIER,Minihy-Tréguier,Minihy-Tréguier,2227,
COM,22153,53.0,22,22D,224,0,MONCONTOUR,Moncontour,Moncontour,2213,
COM,22155,53.0,22,22D,224,3,MOTTE,Motte,La Motte,2210,
COM,22156,53.0,22,22D,222,0,MOUSTERU,Moustéru,Moustéru,2203,
COM,22157,53.0,22,22D,222,2,MOUSTOIR,Moustoir,Le Moustoir,2223,
COM,22158,53.0,22,22D,224,0,GUERLEDAN,Guerlédan,Guerlédan,2210,
COM,22160,53.0,22,22D,224,0,NOYAL,Noyal,Noyal,2206,
COM,22161,53.0,22,22D,222,0,PABU,Pabu,Pabu,2205,
COM,22162,53.0,22,22D,222,0,PAIMPOL,Paimpol,Paimpol,2211,
COM,22163,53.0,22,22D,222,0,PAULE,Paule,Paule,2223,
COM,22164,53.0,22,22D,222,0,PEDERNEC,Pédernec,Pédernec,2201,
COM,22165,53.0,22,22D,224,0,PENGUILY,Penguily,Penguily,2216,
COM,22166,53.0,22,22D,223,0,PENVENAN,Penvénan,Penvénan,2227,
COM,22168,53.0,22,22D,223,0,PERROS GUIREC,Perros-Guirec,Perros-Guirec,2212,
COM,22169,53.0,22,22D,222,0,PEUMERIT QUINTIN,Peumerit-Quintin,Peumerit-Quintin,2223,
COM,22170,53.0,22,22D,224,0,PLAINE HAUTE,Plaine-Haute,Plaine-Haute,2215,
COM,22171,53.0,22,22D,224,0,PLAINTEL,Plaintel,Plaintel,2213,
COM,22172,53.0,22,22D,221,0,PLANCOET,Plancoët,Plancoët,2214,
COM,22174,53.0,22,22D,221,0,PLEBOULLE,Pléboulle,Pléboulle,2217,
COM,22175,53.0,22,22D,224,0,PLEDELIAC,Plédéliac,Plédéliac,2216,
COM,22176,53.0,22,22D,224,0,PLEDRAN,Plédran,Plédran,2221,
COM,22177,53.0,22,22D,222,0,PLEGUIEN,Pléguien,Pléguien,2222,
COM,22178,53.0,22,22D,222,0,PLEHEDEL,Pléhédel,Pléhédel,2211,
COM,22179,53.0,22,22D,221,0,FREHEL,Fréhel,Fréhel,2217,
COM,22180,53.0,22,22D,221,0,PLELAN LE PETIT,Plélan-le-Petit,Plélan-le-Petit,2214,
COM,22181,53.0,22,22D,222,0,PLELAUFF,Plélauff,Plélauff,2223,
COM,22182,53.0,22,22D,222,0,PLELO,Plélo,Plélo,2215,
COM,22183,53.0,22,22D,224,0,PLEMET,Plémet,Plémet,2209,
COM,22184,53.0,22,22D,224,0,PLEMY,Plémy,Plémy,2213,
COM,22185,53.0,22,22D,224,0,PLENEE JUGON,Plénée-Jugon,Plénée-Jugon,2216,
COM,22186,53.0,22,22D,224,0,PLENEUF VAL ANDRE,Pléneuf-Val-André,Pléneuf-Val-André,2217,
COM,22187,53.0,22,22D,224,0,PLERIN,Plérin,Plérin,2218,
COM,22188,53.0,22,22D,222,0,PLERNEUF,Plerneuf,Plerneuf,2215,
COM,22189,53.0,22,22D,222,0,PLESIDY,Plésidy,Plésidy,2203,
COM,22190,53.0,22,22D,221,0,PLESLIN TRIGAVOU,Pleslin-Trigavou,Pleslin-Trigavou,2219,
COM,22193,53.0,22,22D,224,0,PLESTAN,Plestan,Plestan,2216,
COM,22194,53.0,22,22D,223,0,PLESTIN LES GREVES,Plestin-les-Grèves,Plestin-les-Grèves,2220,
COM,22195,53.0,22,22D,223,0,PLEUBIAN,Pleubian,Pleubian,2227,
COM,22196,53.0,22,22D,223,0,PLEUDANIEL,Pleudaniel,Pleudaniel,2227,
COM,22197,53.0,22,22D,221,0,PLEUDIHEN SUR RANCE,Pleudihen-sur-Rance,Pleudihen-sur-Rance,2208,
COM,22198,53.0,22,22D,223,0,PLEUMEUR BODOU,Pleumeur-Bodou,Pleumeur-Bodou,2212,
COM,22199,53.0,22,22D,223,0,PLEUMEUR GAUTIER,Pleumeur-Gautier,Pleumeur-Gautier,2227,
COM,22201,53.0,22,22D,221,0,PLEVENON,Plévenon,Plévenon,2217,
COM,22202,53.0,22,22D,222,0,PLEVIN,Plévin,Plévin,2223,
COM,22203,53.0,22,22D,224,0,PLOEUC L HERMITAGE,Plœuc-L'Hermitage,Plœuc-L'Hermitage,2213,
COM,22204,53.0,22,22D,222,0,PLOEZAL,Ploëzal,Ploëzal,2201,
COM,22205,53.0,22,22D,221,0,PLOREC SUR ARGUENON,Plorec-sur-Arguenon,Plorec-sur-Arguenon,2214,
COM,22206,53.0,22,22D,222,0,CHATELAUDREN PLOUAGAT,Châtelaudren-Plouagat,Châtelaudren-Plouagat,2215,
COM,22207,53.0,22,22D,223,0,PLOUARET,Plouaret,Plouaret,2220,
COM,22208,53.0,22,22D,221,0,PLOUASNE,Plouasne,Plouasne,2208,
COM,22209,53.0,22,22D,221,0,BEAUSSAIS SUR MER,Beaussais-sur-Mer,Beaussais-sur-Mer,2219,
COM,22210,53.0,22,22D,222,0,PLOUBAZLANEC,Ploubazlanec,Ploubazlanec,2211,
COM,22211,53.0,22,22D,223,0,PLOUBEZRE,Ploubezre,Ploubezre,2220,
COM,22212,53.0,22,22D,222,0,PLOUEC DU TRIEUX,Plouëc-du-Trieux,Plouëc-du-Trieux,2201,
COM,22213,53.0,22,22D,221,0,PLOUER SUR RANCE,Plouër-sur-Rance,Plouër-sur-Rance,2219,
COM,22214,53.0,22,22D,222,0,PLOUEZEC,Plouézec,Plouézec,2211,
COM,22215,53.0,22,22D,224,0,PLOUFRAGAN,Ploufragan,Ploufragan,2221,
COM,22216,53.0,22,22D,222,0,PLOUGONVER,Plougonver,Plougonver,2203,
