Nom,Lien,Prix,Lieu,Taille,Taille_terrain,Pieces
Grande maison avec grands volumes à 800 mètres des supermarchés,https://www.etreproprio.com/immobilier-23888195-vente-grande-maison-avec-grands-volumes-a-800-metres-des-supermarches-audierne,249 600,Audierne 29770,127,771,7
Maison 104m² à audierne,https://www.etreproprio.com/immobilier-23883233-vente-maison-104m-a-audierne-audierne,200 000,Audierne 29770,104,353,4
Maison audierne,https://www.etreproprio.com/immobilier-23873695-vente-maison-audierne-audierne,239 200,Audierne 29770,129,1 145,7
Charmante maison de ville au cœur du centre ville d'audierne,https://www.etreproprio.com/immobilier-23873704-vente-charmante-maison-de-ville-au-coeur-du-centre-ville-d-audierne-audierne,131 250,Audierne 29770,70,,4
Emplacement exceptionnel - vue mer -  à 100m de la mer et proche des plages - maison récente,https://www.etreproprio.com/immobilier-23873692-vente-emplacement-exceptionnel-vue-mer-a-100m-de-la-mer-et-proche-des-plages-maison-recente-audierne,395 200,Audierne 29770,130,370,5
Jolie maison de pêcheur en pierre - 3 chambres - accès centre ville d'audierne à pied,https://www.etreproprio.com/immobilier-23873690-vente-jolie-maison-de-pecheur-en-pierre-3-chambres-acces-centre-ville-d-audierne-a-pied-audierne,202 800,Audierne 29770,70,198,3
Maison à vendre  résidence de vacances à audierne,https://www.etreproprio.com/immobilier-23861085-vente-maison-a-vendre-residence-de-vacances-a-audierne-audierne,146 300,Audierne 29770,55,20,4
"Dpt finistère (29), maison à vendre 8 pièces audierne",https://www.etreproprio.com/immobilier-23837017-vente-dpt-finistere-29-maison-a-vendre-8-pieces-audierne-audierne,528 000,Audierne 29770,210,1 920,8
Maison 150m² à audierne,https://www.etreproprio.com/immobilier-23810759-vente-maison-150m-a-audierne-audierne,168 000,Audierne 29770,150,450,7
Maison audierne 6 pièce(s) 120 m2,https://www.etreproprio.com/immobilier-23303077-vente-maison-audierne-6-pieces-120-m2-audierne,165 850,Audierne 29770,120,1 035,6
Maison 120m² à audierne,https://www.etreproprio.com/immobilier-21537948-vente-maison-120m-a-audierne-audierne,165 850,Audierne 29770,120,1 035,6
Maison 154m² à audierne,https://www.etreproprio.com/immobilier-23786558-vente-maison-154m-a-audierne-audierne,258 000,Audierne 29770,154,810,8
Maison 129m² à audierne,https://www.etreproprio.com/immobilier-23754447-vente-maison-129m-a-audierne-audierne,239 000,Audierne 29770,129,1 140,7
Maison 100m² à audierne,https://www.etreproprio.com/immobilier-23702735-vente-maison-100m-a-audierne-audierne,208 000,Audierne 29770,100,657,5
Maison 85m² à audierne,https://www.etreproprio.com/immobilier-23679159-vente-maison-85m-a-audierne-audierne,174 000,Audierne 29770,85,561,5
