Lieu,Nombre de maisons à vendre,Prix moyen au m2
Kergrist 56300,7,1164
Kerlaz 29100,3,3411
Kerlouan 29890,14,2477
Kermaria-Sulard 22450,7,2123
Kermoroc'h 22140,1,1780
Kernascleden 56540,5,2070
Kernilis 29260,7,2375
Kernoues 29260,2,2215
Kerpert 22480,3,1021
Kersaint-Plabennec 29860,2,2715
Kervignac 56700,35,2863
La Bouillie 22240,4,3006
La Chapelle-Blanche 22350,1,1377
La Chapelle-Neuve 22160,5,1274
La Chapelle-Neuve 56500,12,1585
La Cheze 22210,16,956
La Croix-Hellean 56120,3,1466
La Feuillee 29690,15,1584
La Forest-Landerneau 29800,4,2848
La Foret-Fouesnant 29940,71,3719
La Gacilly 56200,21,1755
La Gree-Saint-Laurent 56120,8,1517
La Harmoye 22320,1,805
La Malhoure 22640,2,2164
La Martyre 29800,3,1456
La Meaugon 22440,5,1962
La Motte 22600,8,1708
La Prenessaye 22210,10,1332
La Roche-Bernard 56130,9,2982
La Roche-Derrien 22450,10,1649
La Roche-Maurice 29800,4,2351
La Trinite-Porhoet 56490,4,929
La Trinite-Sur-Mer 56470,27,6456
La Trinite-Surzur 56190,3,2895
La Vicomte-Sur-Rance 22690,11,3434
La Vraie-Croix 56250,1,2211
Lamballe 22400,71,2407
Lampaul-Guimiliau 29400,11,1922
Lampaul-Plouarzel 29810,12,2946
Lampaul-Ploudalmezeau 29830,1,1834
Lanarvily 29260,1,1590
Lancieux 22770,11,5791
Landaul 56690,15,3002
Landebia 22130,4,1476
Landeda 29870,22,2894
Landehen 22400,9,1838
Landeleau 29530,3,869
Landerneau 29800,40,2277
Landevant 56690,29,2659
Landevennec 29560,6,3908
Landivisiau 29400,46,2082
Landrevarzec 29510,3,2029
Landudal 29510,1,2111
Landudec 29710,13,1563
Landunvez 29840,12,3148
Lanester 56600,60,2780
Lanfains 22800,8,1807
Langast 22150,7,1174
Langoat 22450,9,1649
Langoelan 56160,17,1185
Langolen 29510,5,1732
Langonnet 56630,29,1487
Langourla 22330,5,1126
Langrolay-Sur-Rance 22490,10,2409
Languedias 22980,1,1997
Languenan 22130,9,2123
Langueux 22360,18,2688
Languidic 56440,90,2427
Lanhouarneau 29430,8,2172
Lanildut 29840,7,2425
Laniscat 22570,16,1399
Lanloup 22580,3,2092
Lanmeur 29620,19,2036
Lanmodez 22610,1,967
Lanneanou 29640,9,1580
Lannebert 22290,5,1670
Lannedern 29190,1,997
Lannilis 29870,30,2437
Lannion 22300,111,2575
Lanouee 56120,24,1479
Lanrelas 22250,6,1287
Lanrivain 22480,7,1667
Lanrivoare 29290,1,2524
Lanrodec 22170,1,2004
Lantic 22410,21,2750
Lantillac 56120,7,1348
Lanvallay 22100,37,2223
Lanvaudan 56240,4,1489
Lanvellec 22420,7,2235
Lanvenegen 56320,17,1407
Lanveoc 29160,24,2436
Lanvollon 22290,29,1999
Larmor-Baden 56870,35,6036
Larmor-Plage 56260,55,4746
Larre 56230,5,2393
Laurenan 22230,3,970
Lauzach 56190,3,2555
Laz 29520,6,1230
Le Bodeo 22320,1,1289
Le Cambout 22210,1,914
Le Cloitre-Pleyben 29190,1,1060
Le Cloitre-Saint-Thegonnec 29410,5,1014
Le Conquet 29217,13,2863
Le Croisty 56540,10,1434
Le Drennec 29860,2,2754
Le Faouet 22290,4,1630
Le Faouet 56320,28,1786
Le Faou 29590,20,1929
Le Foeil 22800,3,2529
Le Folgoet 29260,7,2197
Le Gouray 22330,19,1374
Le Guerno 56190,10,2687
Le Haut-Corlay 22320,6,1572
Le Hezo 56450,17,3783
Le Hingle 22100,5,2108
Le Juch 29100,4,2478
Le Leslay 22800,1,1831
Le Merzer 22200,6,1557
Le Moustoir 22340,2,1619
Le Palais 56360,28,6165
Le Quillio 22460,7,1514
Le Quiou 22630,3,1706
Le Relecq-Kerhuon 29480,55,3563
Le Roc-Saint-Andre 56460,12,1696
Le Saint 56110,7,1917
Le Sourn 56300,5,1841
Le Tour-Du-Parc 56370,18,4070
Le Trehou 29450,5,2681
Le Trevoux 29380,13,2321
Le Vieux-Bourg 22800,3,1314
Le Vieux-Marche 22420,13,1803
Lennon 29190,6,1275
Les Champs-Geraux 22630,4,2412
Les Fougerets 56200,8,1747
Lescouet-Gouarec 22570,3,1267
Lesneven 29260,28,1902
Leuhan 29390,16,1206
Lezardrieux 22740,24,2547
Lignol 56160,23,1503
Limerzel 56220,2,1645
Lizio 56460,8,1666
Loc-Eguiner 29400,3,1970
Locarn 22340,5,1864
Locmalo 56160,28,1469
Locmaria-Grand-Champ 56390,13,2806
Locmaria-Plouzane 29280,31,3396
Locmariaquer 56740,34,5860
Locmaria 56360,15,6370
Locmelar 29400,1,1560
Locmine 56500,25,2354
Locmiquelic 56570,19,3146
Locoal-Mendon 56550,41,3578
Locqueltas 56390,9,2805
Locquenole 29670,7,2396
Locquirec 29241,16,3593
Locronan 29180,7,2724
Loctudy 29750,50,3220
Locunole 29310,6,1814
Logonna-Daoulas 29460,26,2637
Loguivy-Plougras 22780,11,1153
Lohuec 22160,4,1299
Loperec 29590,5,1601
Loperhet 29470,20,17774
Loqueffret 29530,4,859
Lorient 56100,126,3205
Loscouet-Sur-Meu 22230,5,1078
Louannec 22700,27,3300
Louargat 22540,9,1513
Loudeac 22600,42,1617
Loyat 56800,25,1507
Mael-Carhaix 22340,20,1391
Mael-Pestivien 22160,2,1542
Magoar 22480,2,2143
Mahalon 29790,5,2612
Malansac 56220,12,1996
Malestroit 56140,17,2340
Malguenac 56300,10,48343
Mantallot 22450,3,1996
Marzan 56130,38,2790
Matignon 22550,19,2563
Mauron 56430,28,1477
Megrit 22270,2,2269
Melgven 29140,17,2338
Mellac 29300,16,2209
Mellionnec 22110,9,1528
Melrand 56310,35,1599
Meneac 56490,30,1398
Merdrignac 22230,15,1448
Merillac 22230,3,1503
Merleac 22460,7,1177
Merlevenez 56700,18,2952
Meslan 56320,14,1718
Mespaul 29420,10,1928
Meucon 56890,13,3400
Minihy-Treguier 22220,2,2191
Missiriac 56140,8,1761
Moelan-Sur-Mer 29350,98,3716
Mohon 56490,12,1223
Molac 56230,5,1793
Moncontour 22510,11,2128
Monteneuf 56380,9,1992
Monterblanc 56250,9,2968
Moreac 56500,15,1950
Morieux 22400,4,2409
Morlaix 29600,71,3197
Motreff 29270,6,893
Mousteru 22200,2,1666
Moustoir-Ac 56500,13,2064
Mur-De-Bretagne 22530,9,1466
Muzillac 56190,42,5705
Naizin 56500,12,1495
Neant-Sur-Yvel 56430,12,1450
Neulliac 56300,10,1872
Nevez 29920,30,3520
Nivillac 56130,31,2198
Nostang 56690,5,2789
Noyal-Muzillac 56190,11,2909
Noyal-Pontivy 56920,21,1491
Noyal 22400,1,2616
Ouessant 29242,4,3448
Pabu 22200,12,1864
Paimpol 22500,106,3117
Paule 22340,3,1737
Peaule 56130,20,2231
Pedernec 22540,11,1954
Peillac 56220,16,1751
Pencran 29800,2,2100
Penestin 56760,24,3850
Penguily 22510,3,2231
Penmarch 29760,104,2919
Penvenan 22710,34,3513
Perros-Guirec 22700,94,3933
Persquen 56160,8,1210
Peumerit 29710,6,2175
Plabennec 29860,9,2438
Plaine-Haute 22800,5,1938
Plaintel 22940,18,2258
Plancoet 22130,33,2158
Planguenoual 22400,9,2824
Plaudren 56420,13,2800
Pleboulle 22550,8,2422
Pledeliac 22270,4,2063
Pledran 22960,19,2091
Pleguien 22290,4,2146
Plehedel 22290,15,2567
Plelan-Le-Petit 22980,8,1911
Plelauff 22570,5,1200
Plelo 22170,7,2344
Plemet 22210,36,1263
Plemy 22150,5,1561
Plenee-Jugon 22640,5,1138
Pleneuf-Val-Andre 22370,63,4028
Plerin 22190,78,3054
Plerneuf 22170,2,1285
Plescop 56890,23,3668
Plesidy 22720,5,1442
Pleslin-Trigavou 22490,31,2567
Plessala 22330,11,1090
Plessix-Balisson 22650,13,3296
Plestan 22640,2,988
Plestin-Les-Greves 22310,38,2621
Pleubian 22610,33,2876
Pleucadeuc 56140,13,1923
Pleudaniel 22740,8,1935
Pleudihen-Sur-Rance 22690,39,2565
Pleugriffet 56120,7,1622
Pleumeur-Bodou 22560,38,3420
Pleumeur-Gautier 22740,10,1909
Pleuven 29170,33,2968
Plevenon 22240,4,2991
Pleven 22130,3,1362
Plevin 22340,8,1338
Pleyben 29190,21,1522
Pleyber-Christ 29410,15,1517
Plobannalec-Lesconil 29740,59,3050
Ploemel 56400,26,3601
Ploemeur 56270,92,4500
Ploerdut 56160,36,1371
Ploeren 56880,45,3792
Ploermel 56800,77,1998
Ploeuc-Sur-Lie 22150,8,1545
