Nom,Lien,Code INSEE,Page Lien,Prix,Lieu,Taille,Taille_terrain,Pieces,Prix au m2
Maison saint gildas de rhuys - bord de plage,https://www.etreproprio.com/immobilier-21943704-vente-maison-saint-gildas-de-rhuys-bord-de-plage-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g1#list,698250.0,Saint-Gildas-De-Rhuys 56730,165.0,948,5.0,4232.0
Maison t2 rénovée 'cosy' + jardin sud ? idéal pied-à-terre ou locatif à saint-gildas-de-rhuys (56),https://www.etreproprio.com/immobilier-23599758-vente-maison-t2-renovee-cosy-jardin-sud-ideal-pied-a-terre-ou-locatif-a-saint-gildas-de-rhuys-56-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g1#list,252000.0,Saint-Gildas-De-Rhuys 56730,45.0,110,2.0,5600.0
Maison saint gildas de rhuys 5 pièce(s) 67 m2,https://www.etreproprio.com/immobilier-23567887-vente-maison-saint-gildas-de-rhuys-5-pieces-67-m2-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g1#list,330750.0,Saint-Gildas-De-Rhuys 56730,67.0,754,5.0,4937.0
Maison saint gildas de rhuys,https://www.etreproprio.com/immobilier-23522030-vente-maison-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g1#list,367500.0,Saint-Gildas-De-Rhuys 56730,95.0,438,5.0,3868.0
Maison individuelle d’exception bourg de saint gildas –,https://www.etreproprio.com/immobilier-23516963-vente-maison-individuelle-d-exception-bourg-de-saint-gildas-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g1#list,1227000.0,Saint-Gildas-De-Rhuys 56730,230.0,612,9.0,5335.0
Maison plain-pied traditionnelle ? 3 chambres potentielles ? grand terrain 1.100 m² ? saint-gildas-de-rhuys (56730),https://www.etreproprio.com/immobilier-22911564-vente-maison-plain-pied-traditionnelle-3-chambres-potentielles-grand-terrain-1100-m-saint-gildas-de-rhuys-56730-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,441000.0,Saint-Gildas-De-Rhuys 56730,69.0,1 155,4.0,6391.0
Maison 119m² à saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-23364330-vente-maison-119m-a-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,451500.0,Saint-Gildas-De-Rhuys 56730,119.0,820,4.0,3794.0
Maison saint gildas de rhuys 5 pièce(s) 115 m²,https://www.etreproprio.com/immobilier-23099753-vente-maison-saint-gildas-de-rhuys-5-pieces-115-m-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,577000.0,Saint-Gildas-De-Rhuys 56730,115.0,993,5.0,5017.0
Maison saint gildas de rhuys 5 pièce(s) proche plage.,https://www.etreproprio.com/immobilier-23336534-vente-maison-saint-gildas-de-rhuys-5-pieces-proche-plage-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,509250.0,Saint-Gildas-De-Rhuys 56730,93.0,709,5.0,5476.0
Maison 178m² à saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-23338483-vente-maison-178m-a-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,1059000.0,Saint-Gildas-De-Rhuys 56730,178.0,1 360,10.0,5949.0
Saint gildas de rhuys maison 5 pièces 142 m²,https://www.etreproprio.com/immobilier-22150554-vente-saint-gildas-de-rhuys-maison-5-pieces-142-m-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,534960.0,Saint-Gildas-De-Rhuys 56730,142.0,439,5.0,3767.0
Maison 129m² à saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-23312836-vente-maison-129m-a-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,504000.0,Saint-Gildas-De-Rhuys 56730,129.0,800,6.0,3907.0
"Saint-gildas bourg, maison 121 m²",https://www.etreproprio.com/immobilier-23087855-vente-saint-gildas-bourg-maison-121-m-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,577500.0,Saint-Gildas-De-Rhuys 56730,121.0,993,4.0,4773.0
"Saint gildas de rhuys, maison de 92 m²",https://www.etreproprio.com/immobilier-23302275-vente-saint-gildas-de-rhuys-maison-de-92-m-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,451500.0,Saint-Gildas-De-Rhuys 56730,119.0,890,4.0,3794.0
"Saint-gildas-de-rhuys bourg, maison de plain-pied",https://www.etreproprio.com/immobilier-22862478-vente-saint-gildas-de-rhuys-bourg-maison-de-plain-pied-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,349500.0,Saint-Gildas-De-Rhuys 56730,68.0,754,4.0,5140.0
Saint gildas de rhuys,https://www.etreproprio.com/immobilier-21645573-vente-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,794000.0,Saint-Gildas-De-Rhuys 56730,160.0,500,6.0,4962.0
Saint gildas de rhuys,https://www.etreproprio.com/immobilier-21918440-vente-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,642000.0,Saint-Gildas-De-Rhuys 56730,113.0,279,6.0,5681.0
Saint gildas de rhuys,https://www.etreproprio.com/immobilier-22605836-vente-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,649900.0,Saint-Gildas-De-Rhuys 56730,121.0,337,6.0,5371.0
Maison 197m² à saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-22946864-vente-maison-197m-a-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,1133000.0,Saint-Gildas-De-Rhuys 56730,197.0,2 400,8.0,5751.0
Maison saint gildas de rhuys govelins avec vue,https://www.etreproprio.com/immobilier-22763140-vente-maison-saint-gildas-de-rhuys-govelins-avec-vue-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,735000.0,Saint-Gildas-De-Rhuys 56730,130.0,725,5.0,5654.0
Maison - 8 pièces - 132 m² - saint-gildas-de-rhuys 56730,https://www.etreproprio.com/immobilier-22751637-vente-maison-8-pieces-132-m-saint-gildas-de-rhuys-56730-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,630000.0,Saint-Gildas-De-Rhuys 56730,132.0,850,8.0,4773.0
Exclusivite - maison saint gildas de rhuys - t5 - 310 m2 de terrain,https://www.etreproprio.com/immobilier-21619024-vente-exclusivite-maison-saint-gildas-de-rhuys-t5-310-m2-de-terrain-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,355000.0,Saint-Gildas-De-Rhuys 56730,101.0,318,5.0,3515.0
Saint gildas de rhuys plage des goh velin,https://www.etreproprio.com/immobilier-22318790-vente-saint-gildas-de-rhuys-plage-des-goh-velin-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,407000.0,Saint-Gildas-De-Rhuys 56730,106.0,,4.0,3840.0
Maison 105m² à saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-22450127-vente-maison-105m-a-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g2#list,323000.0,Saint-Gildas-De-Rhuys 56730,105.0,297,5.0,3076.0
Maison saint gildas de rhuys,https://www.etreproprio.com/immobilier-22448436-vente-maison-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,577500.0,Saint-Gildas-De-Rhuys 56730,112.0,806,6.0,5156.0
Maison saint gildas de rhuys - proximité commerces et plages,https://www.etreproprio.com/immobilier-21978743-vente-maison-saint-gildas-de-rhuys-proximite-commerces-et-plages-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,572000.0,Saint-Gildas-De-Rhuys 56730,110.0,730,4.0,5200.0
Maison saint gildas de rhuys - petite vue océan,https://www.etreproprio.com/immobilier-22150564-vente-maison-saint-gildas-de-rhuys-petite-vue-ocean-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,525000.0,Saint-Gildas-De-Rhuys 56730,73.0,737,5.0,7192.0
Maison familiale spacieuse 197 m2 - proche plages et commerces ? saint-gildas-de-rhuys,https://www.etreproprio.com/immobilier-21784417-vente-maison-familiale-spacieuse-197-m2-proche-plages-et-commerces-saint-gildas-de-rhuys-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,927000.0,Saint-Gildas-De-Rhuys 56730,197.0,1 614,9.0,4706.0
"Saint-gildas-de-rhuys, maison d'exception proche plage",https://www.etreproprio.com/immobilier-21689117-vente-saint-gildas-de-rhuys-maison-d-exception-proche-plage-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,927000.0,Saint-Gildas-De-Rhuys 56730,197.0,1 614,8.0,4706.0
Maison neuve saint gildas de rhuys proche plages,https://www.etreproprio.com/immobilier-21304715-vente-maison-neuve-saint-gildas-de-rhuys-proche-plages-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,410800.0,Saint-Gildas-De-Rhuys 56730,81.0,280,5.0,5072.0
"bâtiment exceptionnel avec vue mer à 180° – proposé par orpi arzon, 270 m² sur un terrain de 1 450 m²",https://www.etreproprio.com/immobilier-21197317-vente-batiment-exceptionnel-avec-vue-mer-a-180-propose-par-orpi-arzon-270-m-sur-un-terrain-de-1-450-m-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,882000.0,Saint-Gildas-De-Rhuys 56730,300.0,1 450,8.0,2940.0
maison familiale à 1 km des plages – proposée par orpi arzon,https://www.etreproprio.com/immobilier-19871400-vente-maison-familiale-a-1-km-des-plages-proposee-par-orpi-arzon-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,449000.0,Saint-Gildas-De-Rhuys 56730,125.0,700,5.0,3592.0
"Presqu'ile de rhuys - entre golfe et océan, maison pierre et caractère - 80 m² au sol.",https://www.etreproprio.com/immobilier-16229154-vente-presqu-ile-de-rhuys-entre-golfe-et-ocean-maison-pierre-et-caractere-80-m-au-sol-saint-gildas-de-rhuys,56214,https://www.etreproprio.com/annonces/th.lc56214-r0.odd.g3#list,377000.0,Saint-Gildas-De-Rhuys 56730,74.0,388,4.0,5095.0
Maison de campagne,https://www.etreproprio.com/immobilier-23865731-vente-maison-de-campagne-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,168500.0,Saint-Gonnery 56920,115.0,2 600,8.0,1465.0
Maison 63m² à saint-gonnery,https://www.etreproprio.com/immobilier-23790361-vente-maison-63m-a-saint-gonnery-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,130000.0,Saint-Gonnery 56920,63.0,502,4.0,2063.0
Maison 115m² à saint-gonnery,https://www.etreproprio.com/immobilier-23504577-vente-maison-115m-a-saint-gonnery-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,168500.0,Saint-Gonnery 56920,115.0,2 474,7.0,1465.0
Maison 184m² à saint-gonnery,https://www.etreproprio.com/immobilier-21526069-vente-maison-184m-a-saint-gonnery-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,263750.0,Saint-Gonnery 56920,184.0,4 979,7.0,1433.0
"À saint-gonnery, maison à vendre de 184m2 avec terrain de 4 979 m2",https://www.etreproprio.com/immobilier-21993203-vente-a-saint-gonnery-maison-a-vendre-de-184m2-avec-terrain-de-4-979-m2-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,263750.0,Saint-Gonnery 56920,184.0,4 979,7.0,1433.0
Maison de campagne à rénover,https://www.etreproprio.com/immobilier-22996474-vente-maison-de-campagne-a-renover-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,49990.0,Saint-Gonnery 56920,110.0,1 900,3.0,454.0
Maison 101m² à saint-gonnery,https://www.etreproprio.com/immobilier-22710968-vente-maison-101m-a-saint-gonnery-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,278000.0,Saint-Gonnery 56920,101.0,6 966,5.0,2752.0
Maison récente,https://www.etreproprio.com/immobilier-21961669-vente-maison-recente-saint-gonnery,56215,https://www.etreproprio.com/annonces/th.lc56215-r0.odd.g1#list,280000.0,Saint-Gonnery 56920,101.0,6 966,4.0,2772.0
Maison 80m² à saint-gorgon,https://www.etreproprio.com/immobilier-23873010-vente-maison-80m-a-saint-gorgon-saint-gorgon,56216,https://www.etreproprio.com/annonces/th.lc56216-r0.odd.g1#list,167000.0,Saint-Gorgon 56350,80.0,5 780,5.0,2088.0
Maison 97m² à saint-gorgon,https://www.etreproprio.com/immobilier-23490542-vente-maison-97m-a-saint-gorgon-saint-gorgon,56216,https://www.etreproprio.com/annonces/th.lc56216-r0.odd.g1#list,169000.0,Saint-Gorgon 56350,97.0,2 300,5.0,1742.0
Maison 190m² à saint-grave,https://www.etreproprio.com/immobilier-23660932-vente-maison-190m-a-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,249000.0,Saint-Grave 56220,190.0,470,9.0,1311.0
Maison 250m² à saint-grave,https://www.etreproprio.com/immobilier-22956826-vente-maison-250m-a-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,340000.0,Saint-Grave 56220,250.0,3 580,10.0,1360.0
Maison 118m² à saint-grave,https://www.etreproprio.com/immobilier-23472338-vente-maison-118m-a-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,262000.0,Saint-Grave 56220,118.0,900,5.0,2220.0
Maison 139m² à saint-grave,https://www.etreproprio.com/immobilier-23259800-vente-maison-139m-a-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,318000.0,Saint-Grave 56220,139.0,2 000,5.0,2288.0
Maison 111m² à saint-grave,https://www.etreproprio.com/immobilier-22957327-vente-maison-111m-a-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,217000.0,Saint-Grave 56220,111.0,860,5.0,1955.0
Maison à vendre saint gravé,https://www.etreproprio.com/immobilier-22931263-vente-maison-a-vendre-saint-grave-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,99000.0,Saint-Grave 56220,65.0,,4.0,1523.0
Charmante maison au calme,https://www.etreproprio.com/immobilier-22867302-vente-charmante-maison-au-calme-saint-grave,56218,https://www.etreproprio.com/annonces/th.lc56218-r0.odd.g1#list,95000.0,Saint-Grave 56220,66.0,2 239,3.0,1439.0
Maison contemporaine,https://www.etreproprio.com/immobilier-23343647-vente-maison-contemporaine-saint-guyomard,56219,https://www.etreproprio.com/annonces/th.lc56219-r0.odd.g1#list,311500.0,Saint-Guyomard 56460,142.0,1 200,8.0,2194.0
Charmante longère au calme,https://www.etreproprio.com/immobilier-23585685-vente-charmante-longere-au-calme-saint-guyomard,56219,https://www.etreproprio.com/annonces/th.lc56219-r0.odd.g1#list,266770.0,Saint-Guyomard 56460,119.0,440,6.0,2242.0
Maison en pierre à saint-guyomard,https://www.etreproprio.com/immobilier-23468968-vente-maison-en-pierre-a-saint-guyomard-saint-guyomard,56219,https://www.etreproprio.com/annonces/th.lc56219-r0.odd.g1#list,160000.0,Saint-Guyomard 56460,76.0,291,5.0,2105.0
Maison 137m² à sainte-helene,https://www.etreproprio.com/immobilier-23894752-vente-maison-137m-a-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,449900.0,Sainte-Helene 56700,137.0,,5.0,3284.0
Maison 90m² à sainte-helene,https://www.etreproprio.com/immobilier-23894751-vente-maison-90m-a-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,299900.0,Sainte-Helene 56700,90.0,,6.0,3332.0
Maison 145m² à sainte-helene,https://www.etreproprio.com/immobilier-22734044-vente-maison-145m-a-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,575000.0,Sainte-Helene 56700,145.0,206,5.0,3966.0
Maison 84m² à sainte-helene,https://www.etreproprio.com/immobilier-23734468-vente-maison-84m-a-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,233200.0,Sainte-Helene 56700,84.0,275,3.0,2776.0
Maison à vendre sainte-hélène,https://www.etreproprio.com/immobilier-23614138-vente-maison-a-vendre-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,436600.0,Sainte-Helene 56700,127.0,1 806,6.0,3438.0
Maison sainte helene 6 pièce(s) - proche ria,https://www.etreproprio.com/immobilier-22398438-vente-maison-sainte-helene-6-pieces-proche-ria-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,449350.0,Sainte-Helene 56700,135.0,2 000,6.0,3329.0
Maison sur la ria d'etel,https://www.etreproprio.com/immobilier-23042731-vente-maison-sur-la-ria-d-etel-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,449600.0,Sainte-Helene 56700,135.0,2 000,5.0,3330.0
Maison 162m² à sainte-helene,https://www.etreproprio.com/immobilier-23079546-vente-maison-162m-a-sainte-helene-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,499500.0,Sainte-Helene 56700,162.0,385,6.0,3083.0
Maison sainte helene 4 pièce(s) 82 m2,https://www.etreproprio.com/immobilier-23152899-vente-maison-sainte-helene-4-pieces-82-m2-sainte-helene,56220,https://www.etreproprio.com/annonces/th.lc56220-r0.odd.g1#list,280500.0,Sainte-Helene 56700,82.0,450,4.0,3421.0
Maison 124m² à saint-jacut-les-pins,https://www.etreproprio.com/immobilier-23426175-vente-maison-124m-a-saint-jacut-les-pins-saint-jacut-les-pins,56221,https://www.etreproprio.com/annonces/th.lc56221-r0.odd.g1#list,294000.0,Saint-Jacut-Les-Pins 56220,124.0,1 488,5.0,2371.0
Maison 145m² à saint-jacut-les-pins,https://www.etreproprio.com/immobilier-23390131-vente-maison-145m-a-saint-jacut-les-pins-saint-jacut-les-pins,56221,https://www.etreproprio.com/annonces/th.lc56221-r0.odd.g1#list,289000.0,Saint-Jacut-Les-Pins 56220,145.0,668,5.0,1993.0
Maison 184m² à saint-jacut-les-pins,https://www.etreproprio.com/immobilier-21474571-vente-maison-184m-a-saint-jacut-les-pins-saint-jacut-les-pins,56221,https://www.etreproprio.com/annonces/th.lc56221-r0.odd.g1#list,314700.0,Saint-Jacut-Les-Pins 56220,184.0,3 120,8.0,1710.0
Maison familliale avec belle vue dégagée,https://www.etreproprio.com/immobilier-23043114-vente-maison-familliale-avec-belle-vue-degagee-saint-jacut-les-pins,56221,https://www.etreproprio.com/annonces/th.lc56221-r0.odd.g1#list,236900.0,Saint-Jacut-Les-Pins 56220,133.0,1 520,7.0,1781.0
Maison 130m² à saint-jean-brevelay,https://www.etreproprio.com/immobilier-23768733-vente-maison-130m-a-saint-jean-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,363000.0,Saint-Jean-Brevelay 56660,130.0,576,7.0,2792.0
Maison contemporaine - 127 m² - saint jean brévelay,https://www.etreproprio.com/immobilier-22890033-vente-maison-contemporaine-127-m-saint-jean-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,364500.0,Saint-Jean-Brevelay 56660,127.0,570,9.0,2870.0
Maison 45m² à saint-jean-brevelay,https://www.etreproprio.com/immobilier-23730645-vente-maison-45m-a-saint-jean-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,91500.0,Saint-Jean-Brevelay 56660,45.0,778,3.0,2033.0
Maison 54m² à saint-jean-brevelay,https://www.etreproprio.com/immobilier-23389567-vente-maison-54m-a-saint-jean-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,120000.0,Saint-Jean-Brevelay 56660,54.0,1 100,4.0,2222.0
St jean de brevelay,https://www.etreproprio.com/immobilier-22555415-vente-st-jean-de-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,614800.0,Saint-Jean-Brevelay 56660,184.0,84 080,6.0,3341.0
Maison 136m² à saint-jean-brevelay,https://www.etreproprio.com/immobilier-21663084-vente-maison-136m-a-saint-jean-brevelay-saint-jean-brevelay,56222,https://www.etreproprio.com/annonces/th.lc56222-r0.odd.g1#list,273000.0,Saint-Jean-Brevelay 56660,136.0,593,6.0,2007.0
Maison 110m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23786551-vente-maison-110m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,230000.0,Saint-Jean-La-Poterie 56350,110.0,775,6.0,2091.0
Maison à vendre 6 pièces saint jean la poterie (56),https://www.etreproprio.com/immobilier-23127568-vente-maison-a-vendre-6-pieces-saint-jean-la-poterie-56-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,232000.0,Saint-Jean-La-Poterie 56350,109.0,775,6.0,2128.0
Maison familiale avec serre bioclimatique et dépendance,https://www.etreproprio.com/immobilier-23653352-vente-maison-familiale-avec-serre-bioclimatique-et-dependance-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,299500.0,Saint-Jean-La-Poterie 56350,177.0,910,6.0,1692.0
Maison 137m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23649620-vente-maison-137m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,340000.0,Saint-Jean-La-Poterie 56350,137.0,,6.0,2482.0
Maison saint jean la poterie 9 pièce(s) 195 m2,https://www.etreproprio.com/immobilier-23374810-vente-maison-saint-jean-la-poterie-9-pieces-195-m2-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,321790.0,Saint-Jean-La-Poterie 56350,195.0,2 455,9.0,1650.0
Maison 251m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23640146-vente-maison-251m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,392000.0,Saint-Jean-La-Poterie 56350,251.0,4 844,10.0,1562.0
Maison 174m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23621268-vente-maison-174m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,300000.0,Saint-Jean-La-Poterie 56350,174.0,910,7.0,1724.0
Maison 421m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-22805816-vente-maison-421m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,740000.0,Saint-Jean-La-Poterie 56350,421.0,239 271,15.0,1758.0
Maison saint jean la poterie 6 pièce(s) 111 m2,https://www.etreproprio.com/immobilier-23257461-vente-maison-saint-jean-la-poterie-6-pieces-111-m2-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,162000.0,Saint-Jean-La-Poterie 56350,114.0,372,6.0,1421.0
Maison 251m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23526492-vente-maison-251m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,390000.0,Saint-Jean-La-Poterie 56350,251.0,4 844,10.0,1554.0
Maison 114m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-23166797-vente-maison-114m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,162000.0,Saint-Jean-La-Poterie 56350,114.0,372,6.0,1421.0
Maison 115m² à saint-jean-la-poterie,https://www.etreproprio.com/immobilier-22749304-vente-maison-115m-a-saint-jean-la-poterie-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,203500.0,Saint-Jean-La-Poterie 56350,115.0,7 474,4.0,1770.0
Maison à vendre 8 pièces saint jean la poterie (56),https://www.etreproprio.com/immobilier-22225420-vente-maison-a-vendre-8-pieces-saint-jean-la-poterie-56-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,498000.0,Saint-Jean-La-Poterie 56350,186.0,4 142,8.0,2677.0
Maison saint jean la poterie 4 pièce(s) 90 m2,https://www.etreproprio.com/immobilier-20884901-vente-maison-saint-jean-la-poterie-4-pieces-90-m2-saint-jean-la-poterie,56223,https://www.etreproprio.com/annonces/th.lc56223-r0.odd.g1#list,252000.0,Saint-Jean-La-Poterie 56350,90.0,1 117,4.0,2800.0
Maison familiale 5 pièces 121 m2 avec garage,https://www.etreproprio.com/immobilier-22608426-vente-maison-familiale-5-pieces-121-m2-avec-garage-saint-laurent-sur-oust,56224,https://www.etreproprio.com/annonces/th.lc56224-r0.odd.g1#list,147900.0,Saint-Laurent-Sur-Oust 56140,121.0,645,5.0,1222.0
Maison 121m² à saint-laurent-sur-oust,https://www.etreproprio.com/immobilier-22603227-vente-maison-121m-a-saint-laurent-sur-oust-saint-laurent-sur-oust,56224,https://www.etreproprio.com/annonces/th.lc56224-r0.odd.g1#list,147900.0,Saint-Laurent-Sur-Oust 56140,121.0,645,5.0,1222.0
Maison t3 de 62m² st laurent sur oust,https://www.etreproprio.com/immobilier-21756313-vente-maison-t3-de-62m-st-laurent-sur-oust-saint-laurent-sur-oust,56224,https://www.etreproprio.com/annonces/th.lc56224-r0.odd.g1#list,73440.0,Saint-Laurent-Sur-Oust 56140,62.0,382,3.0,1185.0
Maison 113m² à saint-lery,https://www.etreproprio.com/immobilier-23472386-vente-maison-113m-a-saint-lery-saint-lery,56225,https://www.etreproprio.com/annonces/th.lc56225-r0.odd.g1#list,189500.0,Saint-Lery 56430,113.0,631,6.0,1677.0
Batisse à renover avec grand terrain de 2541m2,https://www.etreproprio.com/immobilier-23297486-vente-batisse-a-renover-avec-grand-terrain-de-2541m2-saint-malo-de-beignon,56226,https://www.etreproprio.com/annonces/th.lc56226-r0.odd.g1#list,45100.0,Saint-Malo-De-Beignon 56380,25.0,2 541,1.0,1804.0
