Code INSEE,Nombre de maisons à vendre,Prix moyen au m2,Ville
22072,3,1209,Gurunhuel 22390
22074,7,1598,Le Haut-Corlay 22320
22075,3,1535,Hemonstoir 22600
22076,6,2730,Henanbihen 22550
22077,3,2069,Henansal 22400
22079,14,1577,Henon 22150
22081,7,2301,Hillion 22120
22082,4,2225,Le Hingle 22100
22083,3,1055,Illifaut 22230
22084,12,1825,Jugon-Les-Lacs 22270
22085,3,1872,Kerbors 22610
22086,10,2367,Kerfot 22500
22087,4,1591,Kergrist-Moelou 22110
22090,7,2099,Kermaria-Sulard 22450
22091,1,1780,Kermoroc'h 22140
22092,2,1028,Kerpert 22480
22093,71,2422,Lamballe 22400
22094,11,5502,Lancieux 22770
22096,4,1476,Landebia 22130
22098,8,1877,Landehen 22400
22099,8,1807,Lanfains 22800
22101,9,1649,Langoat 22450
22103,10,2409,Langrolay-Sur-Rance 22490
22104,1,1997,Languedias 22980
22105,8,2260,Languenan 22130
22106,19,2609,Langueux 22360
22107,15,1287,Laniscat 22570
22109,3,2092,Lanloup 22580
22111,1,967,Lanmodez 22610
22112,5,1670,Lannebert 22290
22113,107,2511,Lannion 22300
22114,5,1005,Lanrelas 22250
22115,5,1123,Lanrivain 22480
22116,1,2004,Lanrodec 22170
22117,18,2534,Lantic 22410
22118,35,2243,Lanvallay 22100
22119,7,2235,Lanvellec 22420
22121,27,1905,Lanvollon 22290
22122,3,970,Laurenan 22230
22124,3,1267,Lescouet-Gouarec 22570
22126,1,1831,Le Leslay 22800
22127,23,2592,Lezardrieux 22740
22128,4,1446,Locarn 22340
22131,8,1085,Loguivy-Plougras 22780
22132,3,1128,Lohuec 22160
22133,3,1240,Loscouet-Sur-Meu 22230
22134,23,3183,Louannec 22700
22135,8,1591,Louargat 22540
22136,39,1524,Loudeac 22600
22137,20,1391,Mael-Carhaix 22340
22138,2,1542,Mael-Pestivien 22160
22139,2,2143,Magoar 22480
22140,2,2164,La Malhoure 22640
22141,3,1996,Mantallot 22450
22143,16,2585,Matignon 22550
22144,5,1962,La Meaugon 22440
22145,2,2269,Megrit 22270
22146,8,1595,Mellionnec 22110
22147,14,1427,Merdrignac 22230
22148,3,1503,Merillac 22230
22149,7,1355,Merleac 22460
22150,4,1468,Le Merzer 22200
22152,2,2191,Minihy-Treguier 22220
22153,8,1689,Moncontour 22510
22155,8,1708,La Motte 22600
22156,2,1666,Mousteru 22200
22157,2,1619,Le Moustoir 22340
22158,8,1340,Mur-De-Bretagne 22530
22160,1,2616,Noyal 22400
22161,12,1864,Pabu 22200
22162,102,3092,Paimpol 22500
22163,3,1737,Paule 22340
22164,12,1990,Pedernec 22540
22165,3,2231,Penguily 22510
22166,32,3113,Penvenan 22710
22168,82,3611,Perros-Guirec 22700
22170,4,1648,Plaine-Haute 22800
22171,17,2258,Plaintel 22940
22172,31,2177,Plancoet 22130
22174,6,2280,Pleboulle 22550
22175,4,2063,Pledeliac 22270
22176,19,2091,Pledran 22960
22177,4,2146,Pleguien 22290
22178,13,2657,Plehedel 22290
22179,7,3129,Frehel 22240
22180,6,1922,Plelan-Le-Petit 22980
22181,6,1172,Plelauff 22570
22182,8,2319,Plelo 22170
22183,34,1295,Plemet 22210
22184,5,1428,Plemy 22150
22185,5,1138,Plenee-Jugon 22640
22186,53,3812,Pleneuf-Val-Andre 22370
22187,71,2928,Plerin 22190
22188,2,1285,Plerneuf 22170
22189,4,1195,Plesidy 22720
22190,30,2568,Pleslin-Trigavou 22490
22193,2,988,Plestan 22640
22194,34,2477,Plestin-Les-Greves 22310
22195,24,2597,Pleubian 22610
22196,8,1935,Pleudaniel 22740
22197,38,2491,Pleudihen-Sur-Rance 22690
22198,38,3492,Pleumeur-Bodou 22560
22199,9,1920,Pleumeur-Gautier 22740
22201,3,3416,Plevenon 22240
22202,7,1212,Plevin 22340
22203,8,1558,Ploeuc-Sur-Lie 22150
22204,9,1849,Ploezal 22260
22205,2,2356,Plorec-Sur-Arguenon 22130
22206,3,1993,Plouagat 22170
22207,33,1906,Plouaret 22420
22208,10,1656,Plouasne 22830
22209,21,3272,Ploubalay 22650
22210,52,3367,Ploubazlanec 22620
22211,23,2267,Ploubezre 22300
22212,10,1456,Plouec-Du-Trieux 22260
22213,50,3037,Plouer-Sur-Rance 22490
22214,51,2454,Plouezec 22470
22215,69,2213,Ploufragan 22440
22216,7,1324,Plougonver 22810
22217,1,1392,Plougras 22780
22218,16,3431,Plougrescant 22820
22219,24,1404,Plouguenast 22150
22220,5,1666,Plouguernevel 22110
22221,4,2511,Plouguiel 22220
22222,64,2358,Plouha 22580
22223,1,1319,Plouisy 22200
22224,5,2087,Ploulec'h 22300
22225,16,1765,Ploumagoar 22970
22226,24,2284,Ploumilliau 22300
22227,8,1807,Plounerin 22780
22228,7,1694,Plounevez-Moedec 22810
22229,14,1316,Plounevez-Quintin 22110
22231,3,981,Plourac'h 22160
22232,18,2440,Plourhan 22410
22233,28,2605,Plourivo 22860
22234,4,1983,Plouvara 22170
22235,1,2182,Plouzelambre 22420
22236,6,2311,Pludual 22290
22237,6,1819,Pluduno 22130
22238,4,805,Plufur 22310
22239,10,1912,Plumaudan 22350
22240,1,1533,Plumaugat 22250
22241,9,996,Plumieux 22210
22242,13,2983,Plurien 22240
22243,1,1500,Plusquellec 22160
22244,10,1329,Plussulien 22320
22245,4,2001,Pluzunet 22140
22246,7,2422,Pommeret 22120
22248,4,1894,Pommerit-Le-Vicomte 22200
22249,7,1360,Pont-Melvez 22390
22250,22,1912,Pontrieux 22260
22251,29,2801,Pordic 22590
22254,6,1263,Prat 22140
22255,8,1176,La Prenessaye 22210
22256,10,2096,Quemper-Guezennec 22260
22257,2,2056,Quemperven 22450
22258,3,1677,Quessoy 22120
22259,23,2543,Quevert 22100
22260,7,1514,Le Quillio 22460
22262,17,1687,Quintin 22800
22263,2,1706,Le Quiou 22630
22264,10,1649,La Roche-Derrien 22450
22265,11,2473,Rospez 22300
22266,27,1398,Rostrenen 22110
22267,2,1659,Rouillac 22250
22268,7,2037,Ruca 22550
22269,1,2498,Runan 22260
22272,4,2266,Saint-Agathon 22200
22273,21,2681,Saint-Alban 22400
22274,1,1029,Saint-Andre-Des-Eaux 22630
22275,4,1162,Saint-Barnabe 22600
22276,3,1986,Saint-Bihy 22800
22277,8,1945,Saint-Brandan 22800
22278,174,2195,Saint-Brieuc 22000
22279,7,1188,Saint-Caradec 22600
22280,3,2227,Saint-Carne 22100
22281,5,1979,Saint-Carreuc 22150
22282,95,4088,Saint-Cast-Le-Guildo 22380
22283,2,2580,Saint-Clet 22260
22285,2,1833,Saint-Connec 22530
22286,2,2250,Saint-Denoual 22400
22287,7,2108,Saint-Donan 22800
22288,6,1060,Saint-Etienne-Du-Gue-De-L'isle 22210
22289,1,1629,Saint-Fiacre 22720
22294,1,567,Saint-Gilles-Pligeaux 22480
22295,3,1171,Saint-Gilles-Vieux-Marche 22530
22296,2,1759,Saint-Glen 22510
22299,12,2126,Saint-Helen 22100
22300,1,1792,Saint-Herve 22460
22302,5,7200,Saint-Jacut-De-La-Mer 22750
22305,4,1873,Saint-Jouan-De-L'isle 22350
22306,4,2632,Saint-Judoce 22630
22307,7,1892,Saint-Julien 22940
22308,1,1532,Saint-Juvat 22630
22310,1,1569,Saint-Laurent 22140
22311,3,2777,Saint-Lormel 22130
22312,1,1682,Saint-Maden 22350
22313,8,1803,Saint-Martin-Des-Pres 22320
22315,2,1858,Saint-Maudez 22980
22316,7,1546,Saint-Mayeux 22320
22317,1,1879,Saint-Meloir-Des-Bois 22980
22319,7,2275,Saint-Michel-En-Greve 22300
22321,14,1306,Saint-Nicolas-Du-Pelem 22480
22322,1,821,Saint-Pever 22720
22323,1,1832,Saint-Potan 22550
22324,11,2940,Saint-Quay-Perros 22700
22325,32,3374,Saint-Quay-Portrieux 22410
22326,1,2272,Saint-Rieul 22270
22327,8,2286,Saint-Samson-Sur-Rance 22100
22328,1,979,Saint-Servais 22160
22330,3,1606,Saint-Thelo 22460
22331,3,1175,Sainte-Trephine 22480
22332,1,2408,Saint-Trimoel 22510
22333,9,1634,Saint-Vran 22230
22334,3,1059,Saint-Igeaux 22570
22335,2,890,Senven-Lehart 22720
22337,2,1232,Sevignac 22250
22339,6,2222,Taden 22100
22340,5,2187,Tonquedec 22140
22342,2,1722,Trebedan 22980
22343,39,3546,Trebeurden 22560
22344,2,1728,Trebrivan 22340
22345,3,1387,Trebry 22510
22346,1,2105,Tredaniel 22510
22347,12,2107,Tredarzec 22220
22348,3,1281,Tredias 22250
22349,17,3303,Tredrez-Locquemeau 22300
22350,3,2419,Treduder 22310
22351,3,1639,Treffrin 22340
22352,2,1753,Trefumel 22630
22353,27,4225,Tregastel 22730
22354,2,2094,Treglamus 22540
22356,1,2314,Tregomeur 22590
22358,3,1772,Tregonneau 22200
22359,3,1637,Tregrom 22420
22360,37,2311,Tregueux 22950
22361,5,2246,Treguidel 22290
22362,20,1930,Treguier 22220
22363,13,2497,Trelevern 22660
22364,8,2451,Trelivan 22100
22366,2,2282,Tremel 22310
22368,6,2890,Tremereuc 22490
22369,2,1950,Tremeur 22250
22370,3,2006,Tremeven 22290
22371,5,1947,Tremorel 22230
22372,5,2186,Tremuson 22440
22375,3,2309,Tressignaux 22290
22376,7,1429,Treve 22600
22377,14,3018,Treveneuc 22410
22378,4,1903,Treverec 22290
22379,23,3143,Trevou-Treguignec 22660
22380,2,1859,Trevron 22100
22381,3,1893,Trezeny 22450
22383,4,1764,Troguery 22450
22384,11,1120,Uzel 22460
22385,6,3812,La Vicomte-Sur-Rance 22690
22386,3,1314,Le Vieux-Bourg 22800
22387,13,1803,Le Vieux-Marche 22420
22388,3,2309,Vilde-Guingalan 22980
22389,23,2172,Yffiniac 22120
22390,7,2314,Yvias 22930
22391,7,1544,Yvignac-La-Tour 22350
29001,16,2878,Argol 29560
29002,5,1832,Arzano 29300
29003,36,2315,Audierne 29770
29004,61,2148,Bannalec 29380
29005,3,2205,Baye 29300
29006,29,4035,Benodet 29950
29007,18,5234,Berrien 29690
29008,6,2443,Beuzec-Cap-Sizun 29790
29010,5,2173,Bodilis 29400
29011,5,3101,Bohars 29820
29012,1,1622,Bolazec 29640
29013,2,1105,Botmeur 29690
29014,6,1410,Botsorhel 29650
29015,13,2317,Bourg-Blanc 29860
29016,18,1088,Brasparts 29190
29017,1,1543,Breles 29810
29018,4,1232,Brennilis 29690
29019,193,2572,Brest 29200
29020,15,2162,Briec 29510
29021,13,2218,Brignogan-Plage 29890
29022,45,3211,Camaret-Sur-Mer 29570
29023,51,4084,Carantec 29660
29024,46,1474,Carhaix-Plouguer 29270
29025,8,1895,Cast 29150
29026,20,1654,Chateaulin 29150
29027,34,1459,Chateauneuf-Du-Faou 29520
29028,6,1925,Cleden-Cap-Sizun 29770
29029,8,1473,Cleden-Poher 29270
29030,25,2355,Cleder 29233
29031,50,3912,Clohars-Carnoet 29360
29032,5,3527,Clohars-Fouesnant 29950
29033,1,1060,Le Cloitre-Pleyben 29190
29034,3,794,Le Cloitre-Saint-Thegonnec 29410
29035,2,2519,Coat-Meal 29870
29036,8,1026,Collorec 29530
29037,50,3659,Combrit 29120
29038,10,1192,Commana 29450
29039,123,3306,Concarneau 29900
29040,12,2933,Le Conquet 29217
29041,8,1699,Coray 29370
29042,80,3340,Crozon 29160
29043,22,2180,Daoulas 29460
29044,3,1127,Dineault 29150
29045,9,2162,Dirinon 29460
29046,57,2421,Douarnenez 29100
29047,1,2216,Le Drennec 29860
29048,7,1349,Edern 29510
29049,23,1876,Elliant 29370
29051,36,2286,Ergue-Gaberic 29500
29053,17,1950,Le Faou 29590
29054,15,1584,La Feuillee 29690
29055,6,2491,Le Folgoet 29260
29056,4,2848,La Forest-Landerneau 29800
29057,57,3656,La Foret-Fouesnant 29940
29058,93,3468,Fouesnant 29170
29059,3,2288,Garlan 29610
29060,37,3418,Gouesnach 29950
29061,23,2762,Gouesnou 29850
29062,3,1595,Gouezec 29190
29063,3,2504,Goulien 29770
29064,1,2636,Goulven 29890
29065,4,2306,Gourlizon 29710
29066,7,1924,Guengat 29180
29067,11,1524,Guerlesquin 29650
29068,6,2020,Guiclan 29410
29069,23,2369,Guilers 29820
29070,1,2471,Guiler-Sur-Goyen 29710
29071,3,2405,Guilligomarc'h 29300
29072,41,2746,Guilvinec 29730
29073,12,3042,Guimaec 29620
29074,4,1573,Guimiliau 29400
29075,42,2735,Guipavas 29490
29076,7,2778,Guipronvel 29290
29077,15,2947,Guisseny 29880
29078,12,2403,Hanvec 29460
29079,12,3111,Henvic 29670
29080,12,2371,Hopital-Camfrout 29460
29081,14,1208,Huelgoat 29690
29082,7,4545,Ile-De-Batz 29253
29083,6,3135,Ile-De-Sein 29990
29084,3,2910,Ile-Molene 29259
29085,3,2210,Ile-Tudy 29980
29086,7,2441,Irvillac 29460
29087,4,2478,Le Juch 29100
29089,4,1326,Kergloff 29270
29090,3,3411,Kerlaz 29100
29091,9,2318,Kerlouan 29890
29093,8,2382,Kernilis 29260
29094,2,2215,Kernoues 29260
29095,2,2715,Kersaint-Plabennec 29860
29097,6,2148,Lampaul-Guimiliau 29400
29098,9,2846,Lampaul-Plouarzel 29810
29099,1,1834,Lampaul-Ploudalmezeau 29830
29100,1,1590,Lanarvily 29260
29101,20,2919,Landeda 29870
29102,3,869,Landeleau 29530
29103,37,2265,Landerneau 29800
29104,6,3908,Landevennec 29560
29105,40,2099,Landivisiau 29400
29106,3,2029,Landrevarzec 29510
29107,1,2111,Landudal 29510
29108,11,1504,Landudec 29710
29109,10,3263,Landunvez 29840
29110,3,1729,Langolen 29510
29111,6,2024,Lanhouarneau 29430
29112,4,2638,Lanildut 29840
29113,19,2036,Lanmeur 29620
29114,9,1580,Lanneanou 29640
29115,1,997,Lannedern 29190
29117,25,2199,Lannilis 29870
29119,1,2524,Lanrivoare 29290
29120,19,2205,Lanveoc 29160
29122,6,1230,Laz 29520
29123,6,1275,Lennon 29190
29124,25,1968,Lesneven 29260
29125,16,1206,Leuhan 29390
29128,3,1970,Loc-Eguiner 29400
29130,28,3305,Locmaria-Plouzane 29280
29131,1,1560,Locmelar 29400
29132,7,2396,Locquenole 29670
29133,15,3593,Locquirec 29241
29134,6,2934,Locronan 29180
29135,45,3264,Loctudy 29750
29136,6,1814,Locunole 29310
29137,26,2637,Logonna-Daoulas 29460
29139,4,1926,Loperec 29590
29140,19,2262,Loperhet 29470
29141,3,907,Loqueffret 29530
29143,3,2349,Mahalon 29790
29144,2,1546,La Martyre 29800
29145,9,1804,Confort-Meilars 29790
29146,16,2374,Melgven 29140
29147,15,2328,Mellac 29300
29148,10,1928,Mespaul 29420
29150,86,3386,Moelan-Sur-Mer 29350
29151,62,2101,Morlaix 29600
29152,5,694,Motreff 29270
29153,28,3545,Nevez 29920
29155,3,3348,Ouessant 29242
29156,2,2100,Pencran 29800
29158,78,2607,Penmarch 29760
29159,7,2233,Peumerit 29710
29160,9,2345,Plabennec 29860
29161,30,3041,Pleuven 29170
29162,18,1494,Pleyben 29190
29163,14,1589,Pleyber-Christ 29410
29165,46,2861,Plobannalec-Lesconil 29740
29166,3,2010,Ploeven 29550
29167,11,2228,Plogastel-Saint-Germain 29710
29168,11,2006,Plogoff 29770
29169,6,2378,Plogonnec 29180
29170,26,2590,Plomelin 29700
29171,31,2344,Plomeur 29120
29172,8,2372,Plomodiern 29550
29173,7,2328,Ploneis 29710
29174,46,2610,Ploneour-Lanvern 29720
29175,11,1475,Plonevez-Du-Faou 29530
29176,12,2003,Plonevez-Porzay 29550
29177,17,3329,Plouarzel 29810
29178,22,2592,Ploudalmezeau 29830
29179,11,2221,Ploudaniel 29260
29180,3,2238,Ploudiry 29800
29181,10,1979,Plouedern 29800
29182,6,2048,Plouegat-Guerand 29620
29183,6,1718,Plouegat-Moysan 29650
29184,9,1809,Plouenan 29420
29185,35,1984,Plouescat 29430
29186,13,2423,Plouezoc'h 29252
29187,4,1945,Plougar 29440
29188,35,2734,Plougasnou 29630
29189,116,2615,Plougastel-Daoulas 29470
29190,24,3402,Plougonvelin 29217
29191,17,1879,Plougonven 29640
29192,14,2060,Plougoulm 29250
29193,5,2002,Plougourvest 29400
29195,40,2673,Plouguerneau 29880
29196,7,2543,Plouguin 29830
29197,42,2429,Plouhinec 29780
29198,10,2130,Plouider 29260
29199,13,1663,Plouigneau 29610
29201,2,2427,Ploumoguer 29810
29202,6,1709,Plouneour-Menez 29410
29204,1,1850,Plouneventer 29400
29205,3,1611,Plounevezel 29270
29206,10,2136,Plounevez-Lochrist 29430
29207,12,1925,Plourin-Les-Morlaix 29600
29208,1,1666,Plourin 29830
29209,5,2084,Plouvien 29860
29210,8,1906,Plouvorn 29420
29211,2,1669,Plouye 29690
29212,24,2667,Plouzane 29280
29213,12,1775,Plouzevede 29440
29214,4,2690,Plovan 29720
29215,43,2411,Plozevet 29710
29216,30,2573,Pluguffan 29700
29217,56,2607,Pont-Aven 29930
29218,9,1807,Pont-Croix 29790
29220,58,2639,Pont-L'abbe 29120
29221,8,3316,Porspoder 29840
29222,1,649,Port-Launay 29150
29224,3,2176,Pouldergat 29100
29225,10,2469,Pouldreuzic 29710
29226,8,1597,Poullan-Sur-Mer 29100
29227,4,1017,Poullaouen 29246
29228,7,2131,Primelin 29770
29229,3,1197,Quemeneven 29180
29230,6,1924,Querrien 29310
29232,246,2484,Ergue-Gaberic 29500
29233,53,2246,Quimperle 29300
29234,8,2967,Redene 29300
29235,52,3560,Le Relecq-Kerhuon 29480
29236,55,2733,Riec-Sur-Belon 29340
29237,3,2501,La Roche-Maurice 29800
29238,25,3397,Roscanvel 29570
29239,29,3388,Roscoff 29680
29240,4,2265,Rosnoen 29590
29241,37,2058,Rosporden 29140
29243,4,1179,Saint-Coulitz 29150
29244,4,1549,Saint-Derrien 29440
29245,2,2579,Saint-Divy 29800
29246,1,2156,Saint-Eloy 29460
29247,17,2552,Saint-Evarzec 29170
29248,2,1517,Saint-Fregant 29260
29249,6,1667,Saint-Goazec 29520
29250,3,1226,Saint-Hernin 29270
29251,4,1864,Saint-Jean-Du-Doigt 29630
29252,5,2200,Saint-Jean-Trolimon 29120
29254,17,1609,Saint-Martin-Des-Champs 29600
29255,4,2202,Saint-Meen 29260
29256,13,1948,Saint-Nic 29550
29257,9,3639,Saint-Pabu 29830
29259,57,2090,Saint-Pol-De-Leon 29250
29260,28,2856,Saint-Renan 29290
29261,3,2220,Saint-Rivoal 29190
29262,3,1936,Saint-Sauveur 29400
29263,3,2114,Saint-Segal 29590
29264,2,2013,Saint-Servais 29400
29265,5,1979,Sainte-Seve 29600
29266,5,1967,Saint-Thegonnec 29410
29267,5,1458,Saint-Thois 29520
29268,6,2503,Saint-Thonan 29800
29269,4,1134,Saint-Thurien 29380
29270,11,2407,Saint-Urbain 29800
29271,5,2019,Saint-Vougay 29440
29272,6,2496,Saint-Yvi 29140
29273,20,3307,Santec 29250
29274,64,1520,Scaer 29390
29275,10,1257,Scrignac 29640
29276,20,2673,Sibiril 29250
29277,8,2005,Sizun 29450
29278,13,1184,Spezet 29540
29279,14,2207,Taule 29670
29280,21,2427,Telgruc-Sur-Mer 29560
29281,5,1357,Tourch 29140
29284,25,2773,Treffiagat 29730
29285,1,3183,Treflaouenan 29440
29287,4,2717,Treflez 29430
29288,1,5167,Tregarantec 29260
29289,1,1779,Tregarvan 29560
29291,12,1500,Tregourez 29970
29293,59,3338,Tregunc 29910
29294,5,2681,Le Trehou 29450
29295,1,2857,Tremaouezan 29800
29296,7,3114,Tremeoc 29120
29297,15,2480,Tremeven 29300
29298,7,2066,Treogat 29720
29299,3,2573,Treouergat 29290
29300,11,2386,Le Trevoux 29380
29301,3,1992,Trezilide 29440
29302,9,1833,Pont-De-Buis-Les-Quimerch 29590
35001,30,2909,Acigne 35690
35002,4,1502,Amanlis 35150
35003,2,2659,Andouille-Neuville 35250
35004,25,1526,Antrain 35560
35006,12,1889,Argentre-Du-Plessis 35370
35007,1,1767,Aubigne 35250
35008,3,1511,Availles-Sur-Seiche 35130
35009,8,1828,Baguer-Morvan 35120
35010,13,2019,Baguer-Pican 35120
35012,45,1856,Bain-De-Bretagne 35470
35013,11,1953,Bains-Sur-Oust 35600
35014,11,1774,Bais 35680
35015,15,2073,Balaze 35500
35016,5,2140,Baulon 35580
35017,3,1870,La Baussaine 35190
35018,4,1118,La Bazouge-Du-Desert 35420
35019,13,1516,Bazouges-La-Perouse 35560
35021,5,2366,Beauce 35133
35022,13,2043,Becherel 35190
35023,15,2523,Bedee 35137
35024,50,3344,Betton 35830
35025,1,1607,Bille 35133
35026,1,1848,Bleruais 35750
35027,8,2201,Boisgervilly 35360
35028,2,2943,Boistrudan 35150
35029,10,1725,Bonnemain 35270
35030,2,1459,La Bosse-De-Bretagne 35320
35031,20,2420,La Bouexiere 35340
35032,32,2616,Bourgbarre 35230
35033,14,2202,Bourg-Des-Comptes 35890
35034,9,1496,La Boussac 35120
35035,1,1698,Bovel 35330
35037,19,2371,Breal-Sous-Montfort 35310
35038,1,1680,Breal-Sous-Vitre 35370
35039,8,2492,Brece 35530
35040,6,2421,Breteil 35160
35041,1,2154,Brie 35150
35042,4,1128,Brielles 35370
35045,6,922,Bruc-Sur-Aff 35550
35046,13,1499,Les Brulais 35330
35047,57,3255,Bruz 35170
35049,56,4126,Cancale 35260
35050,2,2077,Cardroc 35190
35051,77,4085,Cesson-Sevigne 35510
35052,2,2803,Champeaux 35500
35054,9,2331,Chanteloup 35150
35055,28,3163,Chantepie 35135
35056,4,1653,La Chapelle-Aux-Filtzmeens 35190
35057,5,2303,La Chapelle-Bouexic 35330
35058,4,2551,La Chapelle-Chaussee 35630
35059,33,3092,La Chapelle-Des-Fougeretz 35520
35061,1,2280,La Chapelle-Erbree 35500
35062,17,1716,La Chapelle-Janson 35133
35063,1,2018,La Chapelle-Saint-Aubert 35140
35064,7,1359,La Chapelle-De-Brain 35660
35065,3,3232,La Chapelle-Thouarault 35590
35066,20,2846,Chartres-De-Bretagne 35131
35067,12,2550,Chasne-Sur-Illet 35250
35068,40,2425,Chateaubourg 35220
35069,63,2656,Chateaugiron 35410
35070,12,2191,Chateauneuf-D'ille-Et-Vilaine 35430
35071,3,1125,Le Chatellier 35133
35072,12,1814,Chatillon-En-Vendelais 35210
35075,5,1859,Chauvigne 35490
35076,7,3041,Chavagne 35310
35077,3,1346,Chelun 35640
35078,8,2160,Cherrueix 35120
35079,2,2541,Chevaigne 35250
35080,9,2476,Cintre 35310
35081,1,3115,Clayes 35590
35082,10,1733,Coesmes 35134
35084,1,2143,Comblessac 35330
35085,49,2141,Combourg 35270
35086,1,1775,Combourtille 35210
35087,4,2161,Cornille 35500
35088,9,2543,Corps-Nuds 35150
35089,4,1635,La Couyere 35320
35090,14,2565,Crevin 35320
35092,2,1632,Cuguen 35270
35093,119,5326,Dinard 35800
35094,7,1803,Dinge 35440
35095,66,2487,Dol-De-Bretagne 35120
35096,12,2282,Domagne 35113
35097,7,2196,Domalain 35680
35098,2,1791,La Dominelais 35390
35099,27,2790,Domloup 35410
35101,4,2232,Dourdain 35450
35102,3,1600,Drouges 35130
35103,2,819,Eance 35640
35104,15,1868,Epiniac 35120
35105,7,1707,Erbree 35500
35106,3,1273,Erce-En-Lamee 35620
35107,14,2560,Erce-Pres-Liffre 35340
35109,15,2169,Etrelles 35370
35110,2,1800,Feins 35440
35111,4,943,Le Ferre 35420
35114,1,1537,Forges-La-Foret 35640
35115,74,2144,Fougeres 35300
35116,17,2208,La Fresnais 35111
35117,16,1534,Gael 35290
35118,8,1827,Gahard 35490
35119,1,2062,Gennes-Sur-Seiche 35370
35120,37,2932,Geveze 35850
35121,7,2494,Gosne 35140
35122,10,2814,La Gouesniere 35350
35123,24,2274,Goven 35580
35124,12,1965,Grand-Fougeray 35390
35125,53,1566,La Guerche-De-Bretagne 35130
35126,51,2654,Guichen 35580
35127,10,2247,Guignen 35580
35128,9,2244,Guipel 35440
35130,12,2618,Hede 35630
35131,7,2963,L'hermitage 35590
35132,10,2571,Hirel 35120
35133,10,2189,Iffendic 35750
35134,5,2653,Les Iffs 35630
35135,13,2219,Irodouer 35850
35136,77,2301,Janze 35150
35137,8,1707,Javene 35133
35138,5,2364,Laignelet 35133
35139,25,2854,Laille 35890
35140,1,1495,Lalleu 35320
35141,1,1504,Landavran 35450
35142,8,2366,Landean 35133
35143,3,1947,Landujan 35360
35144,1,1979,Langan 35850
35145,11,1719,Langon 35660
35146,6,2668,Langouet 35630
35149,5,2217,Lassy 35580
35150,26,2232,Lecousse 35133
35151,2,2230,Lieuron 35550
35152,77,2728,Liffre 35340
35153,3,2079,Lillemer 35111
35154,4,2319,Livre-Sur-Changeon 35450
35155,1,2033,Loheac 35550
35156,2,1708,Longaulnay 35190
35157,6,1354,Le Loroux 35133
35159,3,1781,Lourmais 35270
35160,1,1553,Loutehel 35330
35161,12,1758,Louvigne-De-Bais 35680
35162,31,1271,Louvigne-Du-Desert 35420
35163,5,1108,Luitre 35133
35164,1,2208,Marcille-Raoul 35560
35166,3,1770,Marpire 35220
35167,54,1420,Martigne-Ferchaud 35640
35168,16,1640,Maure-De-Bretagne 35330
35169,2,1464,Maxent 35380
35170,4,2350,Mece 35450
35171,13,2103,Medreac 35360
35172,7,2049,Meillac 35270
35173,53,2881,Melesse 35520
35174,3,1731,Melle 35420
35175,2,655,Mernel 35330
35176,9,1779,Messac 35480
35177,41,3043,La Meziere 35520
35178,9,1953,Mezieres-Sur-Couesnon 35140
35179,59,2536,Miniac-Morvan 35540
35180,3,2073,Miniac-Sous-Becherel 35190
35181,37,3615,Le Minihic-Sur-Rance 35870
35183,3,1784,Mondevert 35370
