Code INSEE,Nombre de maisons à vendre,Prix moyen au m2,Ville
22001,8,1204,Allineuc 22460
22002,1,2800,Andel 22400
22003,3,2155,Aucaleuc 22100
22004,18,2348,Begard 22140
22005,9,1411,Belle-Isle-En-Terre 22810
22006,1,2846,Berhet 22140
22008,4,2251,Bobital 22100
22009,1,1289,Le Bodeo 22320
22011,9,2100,Boqueho 22170
22012,4,3006,La Bouillie 22240
22013,12,1581,Bourbriac 22390
22014,9,1708,Bourseul 22130
22015,3,1892,Brehand 22510
22016,1,6800,Ile-De-Brehat 22870
22019,1,3269,Bringolo 22170
22020,17,1419,Broons 22250
22021,5,2127,Brusvily 22100
22024,3,1643,Calanhel 22160
22025,22,1237,Callac 22160
22026,1,2769,Calorguen 22100
22028,3,2610,Camlez 22450
22029,3,1473,Canihuel 22480
22030,1,2676,Caouennec-Lanvezeac 22300
22031,3,378,Carnoet 22160
22032,15,1736,Caulnes 22350
22033,23,1602,Caurel 22530
22034,9,2232,Cavan 22140
22035,4,2412,Les Champs-Geraux 22630
22036,1,1377,La Chapelle-Blanche 22350
22037,3,1238,La Chapelle-Neuve 22160
22039,17,987,La Cheze 22210
22040,2,1798,Coadout 22970
22042,3,1482,Coatreven 22450
22044,3,2099,Coetmieux 22400
22046,12,1175,Collinee 22330
22047,18,1091,Corlay 22320
22048,14,1481,Corseul 22130
22049,16,2699,Crehen 22130
22050,167,2834,Dinan 22100
22052,1,1647,Duault 22160
22053,5,1298,Ereac 22250
22054,60,3899,Erquy 22430
22055,48,3124,Etables-Sur-Mer 22680
22056,9,2149,Evran 22630
22057,4,1630,Le Faouet 22290
22059,3,2529,Le Foeil 22800
22060,2,1766,Gausson 22150
22061,12,1582,Glomel 22110
22062,6,1170,Gomene 22230
22063,4,2099,Gommenec'h 22290
22064,9,1463,Gouarec 22570
22065,15,1834,Goudelin 22290
22067,14,1750,Graces 22200
22068,1,1015,Grace-Uzel 22460
22069,1,2198,Guenroc 22350
22070,65,1751,Guingamp 22200
22071,2,1956,Guitte 22350
