Lieu,Nombre de maisons à vendre,Prix moyen au m2
Chateaulin 29150,22,1646
Chateauneuf-D'ille-Et-Vilaine 35430,13,2249
Chateauneuf-Du-Faou 29520,38,1487
Chatelaudren 22170,10,2194
Chatellerault 86100,1,1128
Chatillon-En-Michaille 01200,1,3853
Chatillon-En-Vendelais 35210,12,1958
Chatou 78400,3,7051
Chaulnes 80320,1,1201
Chauvigne 35490,6,1919
Chavagne 35310,7,3041
Chelun 35640,3,1346
Cherrueix 35120,8,2160
Chevaigne 35250,2,2541
Chilly-Mazarin 91380,1,3114
Chouzy-Sur-Cisse 41150,1,2140
Cintre 35310,9,2476
Civray-De-Touraine 37150,1,3068
Clayes 35590,1,3115
Cleden-Cap-Sizun 29770,6,1925
Cleden-Poher 29270,9,1457
Cleder 29233,30,2427
Cleguerec 56480,21,1554
Cleguer 56620,16,2401
Clermont-L'herault 34800,1,3229
Clohars-Carnoet 29360,50,3912
Clohars-Fouesnant 29950,6,3528
Coadout 22970,2,1798
Coat-Meal 29870,2,2519
Coatreven 22450,3,1482
Coesmes 35134,13,1730
Coetlogon 22210,4,1297
Coetmieux 22400,3,2099
Cognac 16100,1,2194
Collinee 22330,11,1123
Collorec 29530,8,1026
Colombes 92700,2,4850
Colpo 56390,14,2521
Comblessac 35330,1,2143
Combourg 35270,53,2125
Combourtille 35210,2,1643
Combrit 29120,55,3581
Commana 29450,10,1192
Concarneau 29900,127,3299
Concoret 56430,4,416
Conde-Sur-Noireau 14110,1,1753
Confort-Meilars 29790,9,1804
Coray 29370,10,1669
Corcelles-En-Beaujolais 69220,1,1439
Corlay 22320,19,1070
Cornille 35500,5,2152
Cornil 19150,1,1756
Corps-Nuds 35150,12,2295
Corseul 22130,15,1377
Coueron 44220,1,4261
Couffe 44521,1,2500
Coulommiers 77120,1,1895
Courant 17330,1,1670
Courban 21520,1,1110
Courbevoie 92400,2,7144
Courcy 50200,1,2625
Cournon 56200,3,1317
Courtenay 45320,1,1676
Courville 51170,1,1485
Coussac-Bonneval 87500,1,825
Coutansouze 03330,1,644
Crach 56950,26,3597
Credin 56580,5,1234
Crehen 22130,16,2699
Creon-D'armagnac 40240,1,1292
Crevin 35320,14,2565
Croisy-Sur-Andelle 76780,1,1801
Crozon 29160,84,3296
Cruguel 56420,7,1309
Cuguen 35270,2,1632
Damgan 56750,48,4674
Daoulas 29460,24,2206
Darnetal 76160,2,1964
Darney 88260,1,286
Deauville 14800,1,5305
Derval 44590,1,1940
Dinan 22100,165,2840
Dinan 22270,1,2680
Dinan 22350,1,2939
Dinan 22980,1,2018
Dinard 35800,120,5298
Dineault 29150,4,1088
Dinge 35440,8,1681
Dirinon 29460,10,2201
Dol-De-Bretagne 35120,68,2459
Domagne 35113,12,2282
Domalain 35680,9,2152
Domloup 35410,27,2794
Domme 24250,2,2533
Dompierre-Sur-Besbre 03290,1,872
Douarnenez 29100,60,2434
Doudeville 76560,1,2158
Dourdain 35450,3,2267
Draguignan 83300,2,3627
Drouges 35130,3,1600
Duault 22160,1,1647
Duclair 76480,1,2272
Dury 80480,1,3011
Eance 35640,2,819
Eaunes 31600,1,3810
Edern 29510,7,1349
Eguilles 13510,1,8333
Elliant 29370,23,1923
Elven 56250,39,2845
Entraigues-Sur-La-Sorgue 84320,1,3660
Epernon 28230,1,2992
Epiniac 35120,15,1868
Epuisay 41360,1,1591
Erbree 35500,7,1707
Erce-En-Lamee 35620,3,1273
Erce-Pres-Liffre 35340,15,2545
Erdeven 56410,66,3845
Ereac 22250,5,1298
Ergue-Gaberic 29500,38,2297
Erquy 22430,62,3904
Escource 40210,1,4388
Etables-Sur-Mer 22520,11,3194
Etables-Sur-Mer 22680,36,3134
Etel 56410,26,3664
Etrelles 35370,16,2216
Etroussat 03140,1,1113
Evran 22630,9,2149
Evriguet 56490,6,1302
Fameck 57290,1,2660
Faye-La-Vineuse 37120,1,1274
Fayence 83440,1,1887
Feins 35440,2,1800
Ferel 56130,27,2527
Ferney-Voltaire 01210,1,6139
Flayosc 83780,1,2475
Fleury 11560,1,1300
Flize 08160,1,1268
Floirac 33270,1,3632
Fontaines 89130,1,691
Forges-La-Foret 35640,1,1537
Fouesnant 29170,105,3430
Fougeres 35133,1,1911
Fougeres 35300,79,2088
Frehel 22240,8,3426
Frejus 83370,3,6356
Frejus 83600,4,5794
Freville 76190,1,2169
Gael 35290,16,1534
Gahard 35490,8,1827
Gallargues-Le-Montueux 30660,1,3462
Gambais 78950,1,4593
Gardanne 13120,1,3192
Gareoult 83136,1,3092
Garlan 29610,3,2288
Gausson 22150,2,1766
Gavres 56680,9,3136
Gazeran 78125,1,1786
Genis 24160,1,575
Gennes-Sur-Seiche 35370,2,2062
Gerardmer 88400,1,1775
Gestel 56530,6,3183
Geveze 35850,37,2965
Givors 69700,1,2053
Glomel 22110,12,1575
Gomene 22230,6,1170
Gommenec'h 22290,4,2099
Gondecourt 59147,1,2562
Gonneville-Sur-Honfleur 14600,1,3311
Gosne 35140,8,2321
Gouarec 22570,9,1401
Goudelin 22290,15,1834
Gouesnach 29950,40,3359
Gouesnou 29850,24,2794
Gouezec 29190,4,1844
Goulien 29770,4,2606
Goult 84220,1,7091
Goulven 29890,1,2636
Gourhel 56800,3,1884
Gourin 56110,91,1483
Gourlizon 29710,5,2336
Gournay-En-Bray 76220,1,1995
Gouy 76520,1,2450
Gouzeaucourt 59231,1,920
Goven 35580,24,2274
Grace-Uzel 22460,1,1015
Graces 22200,13,1764
Gradignan 33170,1,3058
Graincourt-Les-Havrincourt 62147,1,1410
Grand-Champ 56390,37,3039
Grand-Fougeray 35390,11,1986
Grenay 62160,1,693
Groix 56590,71,5643
Guegon 56120,29,1458
Guehenno 56420,4,1035
Gueltas 56920,6,1819
Guemene-Sur-Scorff 56160,61,1275
Guengat 29180,7,1924
Guenin 56150,13,1981
Guenroc 22350,2,1717
Guerlesquin 29650,11,1524
Guern 56310,22,1590
Guer 56380,35,2062
Guichen 35580,52,2637
Guiclan 29410,6,2020
Guidel 56520,89,3670
Guignen 35580,9,2303
Guiler-Sur-Goyen 29710,1,2471
Guilers 29820,26,2346
Guillac 56800,18,1405
Guilliers 56490,17,1072
Guilligomarc'h 29300,3,2405
Guilvinec 29730,48,2732
Guimaec 29620,14,3057
Guimiliau 29400,4,1573
Guingamp 22200,66,1742
Guipavas 29490,47,2787
Guipel 35440,9,2244
Guipronvel 29290,8,2765
Guiscriff 56560,19,1231
Guisseny 29880,17,2941
Guitte 22350,2,1956
Gujan-Mestras 33470,1,6587
Gurunhuel 22390,3,1209
Hambach 57910,1,1505
Hambye 50450,1,2750
Hanvec 29460,14,2584
Harnes 62440,1,2634
Hautmont 59330,1,755
Hede 35630,13,2642
Hellean 56120,2,1955
Hemonstoir 22600,3,1535
Henanbihen 22550,6,2730
Henansal 22400,3,2069
Hengoat 22450,1,1732
Hennebont 56700,87,2479
Henon 22150,8,1571
Henouville 76840,1,2835
Henvic 29670,9,1792
Henvic 29679,3,7069
Herblay 95220,1,5096
Hericourt-En-Caux 76560,1,1811
Hillion 22120,8,2353
Hirel 35120,13,2370
Hopital-Camfrout 29460,12,2371
Houdan 78550,1,2596
Huelgoat 29690,14,1208
Hyeres 83400,1,11750
Iffendic 35750,11,2172
Ile-Aux-Moines 56780,8,7932
Ile-D'arz 56840,3,5302
Ile-De-Batz 29253,9,4209
Ile-De-Brehat 22870,1,6800
Ile-De-Sein 29990,7,3246
Ile-Molene 29259,3,2910
Ile-Tudy 29980,5,3201
Illifaut 22230,3,1055
Inguiniel 56240,13,1692
Inzinzac-Lochrist 56650,29,2630
Irodouer 35850,13,2221
Irvillac 29460,7,2441
Izon 33450,1,2853
Janze 35150,80,2260
Jau-Dignac-Et-Loirac 33590,1,877
Javene 35133,8,1707
Josselin 56120,53,1725
Jugon-Les-Lacs 22270,11,1622
Jumieges 76480,1,2408
Kerbors 22610,3,1872
Kerfot 22500,10,2367
Kerfourn 56920,3,1954
Kergloff 29270,4,1326
Kergrist-Moelou 22110,5,1756
Kergrist 56300,7,1164
Kerlaz 29100,3,3411
Kerlouan 29890,9,2318
Kermaria-Sulard 22450,7,2123
Kermoroc'h 22140,1,1780
Kernascleden 56540,4,1395
Kernilis 29260,7,2375
Kernoues 29260,2,2215
Kerpert 22480,3,1021
Kersaint-Plabennec 29860,2,2715
Kervignac 56700,34,2863
L'hermitage 35590,7,2963
La Baussaine 35190,3,1870
La Bazouge-Du-Desert 35420,6,1057
La Begude-De-Mazenc 26160,1,2661
La Bosse-De-Bretagne 35320,2,1459
La Bouexiere 35340,22,2418
La Bouillie 22240,4,3006
La Boussac 35120,9,1501
La Cadiere-D'azur 83740,3,6586
La Caillere-Saint-Hilaire 85410,1,931
La Chapelle-Aux-Filtzmeens 35190,4,1653
La Chapelle-Blanche 22350,1,1377
La Chapelle-Bouexic 35330,6,2234
La Chapelle-Chaussee 35630,5,2524
La Chapelle-De-Brain 35660,7,1359
La Chapelle-Des-Fougeretz 35520,32,3102
La Chapelle-Erbree 35500,1,2280
La Chapelle-Janson 35133,17,1716
La Chapelle-Neuve 22160,3,1238
